chord,freq,contains,,data,,,,
V7,6623,y,,I,,,,#iio7
I,5897,y,,V7,,,,#io
V,4415,y,,I,,,,#io7
i,2236,y,,V7,,,,#ivo
IV,1381,y,,I,,,,#ivo7
ii,1240,y,,vi,,,,#vii%7
#viio7,928,,,IV,,,,#viio
vi,734,y,,IV,,,,#viio7
viio,609,y,,ii,,,,#vio7
iv,595,y,,V7,,,,#vo7
#viio,439,,,I,,,,bII
VI,376,y,,vi,,,,bIII
viio7,280,y,,ii7,,,,bVI
ii7,192,y,,V7,,,,bVII
iii,153,y,,I,,,,Fr
vi7,149,y,,I,,,,Ger
III,143,y,,,,,,I
iio,126,,,IV,,,,i
bII,122,y,,ii,,,,I+
ii%7,121,,,V7,,,,i7
v,120,y,,V7,,,,ii
Ger,113,y,,I,,,,II
vii%7,80,y,,IV,,,,ii%7
V9,59,,,V7,,,,ii7
iv7,55,,,ii7,,,,iii
VII,49,y,,IV,,,,III
It,48,y,,viio,,,,III7
I+,44,,,I,,,,iii7
bVII,37,,,V7,,,,iiio
#vii%7,32,,,I,,,,iiio7
vii,30,,,ii,,,,iio
bVI,26,y,,V7,,,,iio7
V+,26,,,I,,,,It
iiio,24,,,vi,,,,IV
bIII,19,,,V7,,,,iv
VII7,19,,,I,,,,IV+
#io7,18,,,I,,,,iv7
#ivo7,18,,,I+,,,,IV7
#iio7,16,,,IV,,,,V
#vio7,16,,,ii,,,,v
III7,16,,,V7,,,,V+
iio7,16,,,I,,,,V7
i7,15,,,IV,,,,V9
iii7,15,y,,I,,,,vi
II,14,,,vi,,,,VI
IV+,14,,,V7,,,,vi7
VI7,14,,,I,,,,VI7
#vo7,13,,,I,,,,VII
Fr,13,y,,I,,,,vii
iiio7,12,,,I,,,,vii%7
IV7,12,y,,V7,,,,VII7
#io,11,,,V7,,,,vii7
#ivo,11,,,V7,,,,viio
vii7,10,,,I,,,,viio7
bVII7,8,,,I,,,,
IVM7,8,,,I,,,,
VIM7,8,,,I,,,,
vo,7,,,V7,,,,
#vi%7,6,,,ii7,,,,
#vii7,6,,,viio,,,,
bvii,6,,,ii,,,,
II7,6,,,III7,,,,
vio7,6,,,ii,,,,
#iio,5,,,V7,,,,
#iv%7,5,,,V,,,,
III+,5,,,V7,,,,
IM7,5,,,#viio7,,,,
v%7,5,,,vi,,,,
v7,5,,,V,,,,
vio,5,,,vii%7,,,,
#iv,4,,,I,,,,
#vii,4,,,ii,,,,
#vii%,4,,,#iv%7,,,,
#vio,4,,,V,,,,
ivo7,4,,,I,,,,
V+7,4,,,I,,,,
#i,3,,,V,,,,
#iiio,3,,,I,,,,
#vi7,3,,,vi,,,,
#vo,3,,,ii,,,,
biii,3,,,V7,,,,
bIV7,3,,,i,,,,
bVI7,3,,,v,,,,
iv%7,3,,,II,,,,
ivo,3,,,v,,,,
#iii,2,,,iv,,,,
#iiio7,2,,,II,,,,
#V,2,,,V,,,,
#vi,2,,,V7,,,,
bII+,2,,,i,,,,
bII7,2,,,V7,,,,
bIII7,2,,,i,,,,
I7,2,y,,V7,,,,
ii%,2,,,i,,,,
iii%7,2,,,iio,,,,
vi%7,2,,,iio,,,,
VI+7,2,,,i,,,,
vii%,2,,,#viio7,,,,
vo7,2,,,#viio7,,,,
#III,1,,,#viio7,,,,
#iv7,1,,,i,,,,
#VII,1,,,ii%7,,,,
#vii+,1,,,V7,,,,
#VII+,1,,,IV,,,,
bi,1,,,IV,,,,
bI,1,,,V7,,,,
bi7,1,,,V,,,,
bii7,1,,,V7,,,,
bIIM7,1,,,V7,,,,
biio,1,,,i,,,,
biv,1,,,V7,,,,
bv,1,,,i,,,,
bV7,1,,,V7,,,,
Ger7,1,,,i,,,,
IIIM7,1,,,#viio7,,,,
io,1,,,#viio7,,,,
VI+,1,,,i,,,,
VM7,1,,,V7,,,,
,,,,VI,,,,
,,,,#vi,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,iio,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,I,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii7,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,vii%7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,VII,,,,
,,,,viio,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,IVM7,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,v,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,ii,,,,
,,,,iv,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,viio7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,V,,,,
,,,,III,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,I,,,,
,,,,vii%7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,iii,,,,
,,,,III,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,ii,,,,
,,,,iii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,,,,,
,,,,ii,,,,
,,,,ii,,,,
