0.0,V,f# Minor,7/9
4.0,VII,f# Minor,11/24
5.0,VII,f# Minor,11/24
6.0,VII,f# Minor,11/24
7.0,VII,f# Minor,11/24
8.0,III,f# Minor,3/4
10.0,VI,f# Minor,67/99
13.0,V,f# Minor,7/9
14.0,V+,f# Minor,8/9
16.0,V,f# Minor,0.5640922283134474
26.0,II,E Major,3/4
28.0,V7,E Major,139/300
32.0,I,E Major,3/4
36.0,bVI,E Major,0.43709677419354837
45.0,I,e Minor,44/95
47.0,V,e Minor,311/588
50.0,I,e Minor,28/45
51.0,V,e Minor,331/900
54.0,V+,e Minor,47/70
56.0,V,e Minor,7/9
58.0,V+,e Minor,62/99
59.0,V+,e Minor,23/56
61.0,I,e Minor,5/8
62.0,GerVI,e Minor,94/165
64.0,V,E Major,3/4
68.0,III,C Major,10/21
69.0,III,C Major,13/21
70.0,III,C Major,52/105
72.0,IV+,f# Minor,15/16
74.0,DimVII7,f# Minor,17/24
75.0,V+7,f# Minor,113/325
77.0,V+7,f# Minor,16/27
78.0,I,f# Minor,11/15
80.0,I,f# Minor,79/225
81.0,bII,f# Minor,3/4
82.0,I,f# Minor,5/12
83.0,I,f# Minor,5/12
84.0,I,f# Minor,7/9
86.0,I+,f# Minor,8/9
87.0,V+,f# Minor,7/9
88.0,V+7,f# Minor,0.4127045711060949
98.0,DimVII7,C# Major,109/306
100.0,I,G# Major,7/10
104.0,I,c# Minor,56/75
106.0,IIdim,c# Minor,3/4
107.0,I,c# Minor,5/12
108.0,V+,c# Minor,7/9
110.0,V+,c# Minor,11/18
111.0,V+7,c# Minor,172/297
114.0,I,G# Major,2/3
115.0,I,G# Major,2/3
116.0,I,c# Minor,7/9
124.0,IIdim,c# Minor,23/54
125.0,V+,c# Minor,11/18
126.0,V+7,c# Minor,47/81
127.0,IV,c# Minor,11/27
128.0,I,c# Minor,7/9
132.0,I,C# Major,7/9
133.0,VI,C# Major,1/2
134.0,VI,C# Major,1/2
136.0,bII,C# Major,8/25
137.0,V7,C# Major,5/9
138.0,II,C# Major,1/2
139.0,V,C# Major,2/3
140.0,DimVII,C# Major,1/2
141.0,V7,C# Major,5/9
142.0,V,C# Major,2/3
143.0,II,C# Major,1/2
144.0,V7,C# Major,5/9
145.0,DimVII,C# Major,1/2
146.0,II,C# Major,1/2
147.0,bVI,C# Major,11/27
148.0,DimVII,C# Major,7/11
149.0,DimVII7,C# Major,281/495
151.0,bVI,C# Major,151/360
154.0,IIdim7,c# Minor,975/2816
156.0,DimVII,c# Minor,7/11
157.0,IV,c# Minor,4/9
158.0,VI,c# Minor,3/4
160.0,IIdim,c# Minor,3/4
162.0,V+,c# Minor,7/9
163.0,V+7,c# Minor,47/81
164.0,V+7,c# Minor,0.4127045711060949
174.0,II,E Major,3/4
176.0,V7,E Major,139/300
180.0,V7,E Major,0.3952154195011338
190.0,V+7,c# Minor,9/23
192.0,V+7,c# Minor,88/135
194.0,I,c# Minor,56/75
196.0,bII,c# Minor,9/13
197.0,VI,c# Minor,2683/6953
201.0,I,c# Minor,47/60
202.0,I+,c# Minor,15/16
204.0,I,f# Minor,6/13
205.0,I,f# Minor,5/8
206.0,GerVI,f# Minor,94/165
208.0,V+,f# Minor,47/60
212.0,I,f# Minor,6/13
213.0,I,f# Minor,5/8
214.0,GerVI,f# Minor,94/165
216.0,V+,f# Minor,47/60
218.0,III,f# Minor,363/1178
224.0,III,f# Minor,29/80
226.0,V,f# Minor,9/20
228.0,I,f# Minor,19/30
229.0,III,f# Minor,3785/10416
234.0,V+7,c# Minor,31/54
235.0,V+7,c# Minor,31/54
236.0,I,c# Minor,0.7666666666666666
240.0,V+7,c# Minor,49/81
241.0,V+7,c# Minor,49/81
242.0,V+7,c# Minor,49/81
243.0,V+7,c# Minor,0.42887931034482757
248.0,V+,c# Minor,11/18
249.0,IV,c# Minor,11/27
250.0,IIdim,c# Minor,23/54
251.0,VI,c# Minor,0.4505494505494505
253.0,I,c# Minor,0.7777777777777778
256.0,V+,c# Minor,11/18
257.0,IV,c# Minor,11/27
258.0,IIdim,c# Minor,23/54
259.0,IV,c# Minor,0.3999999999999999
260.0,I,c# Minor,0.7666666666666667
