offset,key,numeral,score
0.0,VI,A- Major,0.935847
6.0,V,A- Major,0.936228
8.0,I,A- Major,0.842605
10.0,I+,c Minor,0.848971
11.0,VI,E- Major,0.672671
12.0,VI,A- Major,0.935847
14.0,V,A- Major,0.935847
16.0,I,A- Major,0.842262
19.0,VI,E- Major,0.672671
20.0,VI,A- Major,0.939053
22.0,V,A- Major,0.939053
24.0,I,A- Major,0.521696
28.375,VI,A- Major,0.909391
30.375,III,f Minor,0.450739
31.375,V+7,f Minor,0.751231
31.875,I+,f Minor,0.676108
32.375,I,f Minor,0.901121
35.375,I,C Major,0.907058
36.375,VI,A- Major,0.935847
38.375,V,A- Major,0.936228
40.375,I,A- Major,0.842605
42.375,I+,c Minor,0.848971
43.375,VI,E- Major,0.672671
44.375,VI,A- Major,0.935847
46.375,V,A- Major,0.935847
48.375,I,A- Major,0.842262
51.375,VI,E- Major,0.672671
52.375,VI,A- Major,0.918281
54.375,V,A- Major,0.918281
56.375,I,A- Major,0.688711
59.375,I,G- Major,0.786388
60.125,III,f Minor,0.776823
61.385416666666664,I,f Minor,0.89448
62.385416666666664,III,f Minor,0.44724
63.385416666666664,V+7,f Minor,0.89448
63.885416666666664,I+,f Minor,0.681095
64.38541666666667,I,f Minor,0.908126
68.38541666666667,VII,f Minor,0.908126
69.38541666666667,IV+,a- Minor,0.418134
69.88541666666667,I+,a- Minor,0.630058
71.38541666666667,IV,A- Major,0.595351
71.88541666666667,V,c Minor,0.603246
72.38541666666667,I,A- Major,0.907058
75.38541666666667,IV+,c Minor,0.678651
76.38541666666667,V+,c Minor,0.904869
77.38541666666667,IV+,c Minor,0.441688
79.88541666666667,III,G Major,0.604034
80.38541666666667,IV,G Major,0.883518
81.38541666666667,V+7,f Minor,0.87489
82.38541666666667,I+,f Minor,0.87489
83.38541666666667,III,f Minor,0.87489
85.38541666666667,V,f Minor,0.918266
87.38541666666667,I,f Minor,0.93278
89.38541666666667,III,f Minor,0.93278
90.38541666666667,V+,f Minor,0.922304
91.38541666666667,GerVI,f Minor,0.564913
92.13541666666667,FreVI,f Minor,0.669735
92.38541666666667,I,C Major,0.907058
95.38541666666667,V,b- Minor,0.400102
96.13541666666667,FreVI,f Minor,0.680477
96.38541666666667,#IVdim,f Minor,0.441811
100.38541666666667,VI,A- Major,0.935847
102.38541666666667,V,A- Major,0.936228
104.38541666666667,I,A- Major,0.842605
107.38541666666667,V+,f Minor,0.680558
108.38541666666667,I+,f Minor,0.90741
109.38541666666667,I,f Minor,0.722118
110.38541666666667,VII,f Minor,0.962824
111.38541666666667,I,E- Major,0.739681
111.88541666666667,V,A- Major,0.671559
112.38541666666667,I,A- Major,0.887432
115.38541666666667,VI,E- Major,0.672671
116.38541666666667,VI,A- Major,0.905981
118.38541666666667,V,A- Major,0.905981
120.38541666666667,I,A- Major,0.930521
123.38541666666667,I,G- Major,0.728728
124.38541666666667,I,f Minor,0.901478
126.38541666666667,III,f Minor,0.450739
127.38541666666667,V+7,f Minor,0.751231
127.88541666666667,I+,f Minor,0.681095
128.38541666666666,I,f Minor,0.908126
132.38541666666666,VII,f Minor,0.908126
133.38541666666666,IV+,a- Minor,0.418134
133.88541666666666,I+,a- Minor,0.630058
135.38541666666666,IV,A- Major,0.595351
135.88541666666666,V,c Minor,0.603246
136.38541666666666,I,A- Major,0.907058
139.38541666666666,IV+,c Minor,0.678651
140.38541666666666,V+,c Minor,0.904869
141.38541666666666,IV+,c Minor,0.441688
143.88541666666666,III,G Major,0.604034
144.38541666666666,IV,G Major,0.883518
145.38541666666666,V+7,f Minor,0.87489
146.38541666666666,I+,f Minor,0.87489
147.38541666666666,III,f Minor,0.87489
149.38541666666666,V,f Minor,0.918266
151.38541666666666,I,f Minor,0.93278
153.38541666666666,III,f Minor,0.93278
154.38541666666666,V+,f Minor,0.922304
155.38541666666666,GerVI,f Minor,0.564913
156.13541666666666,FreVI,f Minor,0.669735
156.38541666666666,I,C Major,0.907058
159.38541666666666,V,b- Minor,0.400102
160.13541666666666,FreVI,f Minor,0.685732
160.38541666666666,#IVdim,f Minor,0.443461
164.38541666666666,VI,A- Major,0.945148
166.38541666666666,V,A- Major,0.945148
168.38541666666666,I,A- Major,0.850633
171.38541666666666,V+,f Minor,0.680558
172.38541666666666,I+,f Minor,0.90741
173.38541666666666,I,f Minor,0.722118
174.38541666666666,VII,f Minor,0.962824
175.38541666666666,I,E- Major,0.739681
175.88541666666666,V,A- Major,0.674677
176.38541666666666,I,A- Major,0.906874
177.63541666666666,Iaug,A- Major,0.784574
179.38541666666666,VI,A- Major,0.917335
182.38541666666666,V,A- Major,0.918291
184.38541666666666,I,A- Major,0.688718
187.38541666666666,I,G- Major,0.745049
188.13541666666666,#IVdim,G- Major,0.396396
189.39375,I,f Minor,0.89448
190.39375,III,f Minor,0.449704
191.39375,V+7,f Minor,0.899407
191.89375,I+,f Minor,0.692871
192.39375,I,f Minor,0.923828
193.39375,ItaVI,F Major,0
194.64375,IIdim,f Minor,0.615885
195.64375,VIIdim,f Minor,0.359267
197.39375,I,f Minor,0.881003
199.39375,IIhdim7,f Minor,0.909105
200.39375,I,f Minor,0.909105
201.39375,ItaVI,F Major,0
202.64375,IIdim,f Minor,0.60607
203.64375,VIIdim,f Minor,0.711828
205.39375,I,c Minor,0.910065
207.39375,V+7,c Minor,0.910065
208.39375,I,c Minor,0.780056
209.14375,V+7,c Minor,0.758387
209.39375,I,c Minor,0.897523
210.39375,ItaVI,C Major,0
211.64375,I,c Minor,0.688308
215.39375,IIhdim7,c Minor,0.909105
216.39375,I,c Minor,0.909105
217.39375,ItaVI,C Major,0
218.64375,IIdim,c Minor,0.60607
219.64375,VIIdim,c Minor,0.711828
221.39375,I,g Minor,0.910065
223.39375,V+7,g Minor,0.910065
224.39375,I,g Minor,0.780056
225.14375,V+7,g Minor,0.758387
225.39375,I,g Minor,0.892378
231.39375,IIdim,f Minor,0.659304
232.39375,I+,f Minor,0.741717
232.89375,III,f Minor,0.659304
233.39375,I,f Minor,0.741717
234.89375,I+,f Minor,0.850603
236.39375,VI,f Minor,0.681841
237.39375,I,b- Minor,0.884599
238.39375,I,C Major,0.907058
239.64375,VII,f Minor,0.541596
239.89375,IV,f Minor,0.605023
240.39375,III,f Minor,0.68065
241.39375,I+,f Minor,0.605023
242.39375,I,f Minor,0.907534
245.39375,I,c Minor,0.533007
246.64375,I,e- Minor,0.660306
247.39375,III,A- Major,0.560059
247.64375,I,A- Major,0.907058
247.89375,IIdim,b- Minor,0.961323
248.39375,I+,b- Minor,0.720992
248.89375,III,b- Minor,0.640882
249.39375,I,b- Minor,0.720992
250.89375,I+,b- Minor,0.850603
252.39375,VI,b- Minor,0.681841
253.39375,I,e- Minor,0.884599
254.39375,I,F Major,0.907058
255.64375,VII,b- Minor,0.541596
255.89375,VIIdim,b- Minor,0.60083
256.39375,V+,b- Minor,0.682702
257.39375,I+,b- Minor,0.606846
258.39375,I,b- Minor,0.910269
260.89375,I,G- Major,0.934231
262.39375,III,G- Major,0.710909
262.89375,I,G- Major,0.710909
266.39375,III,G- Major,0.937071
267.39375,I,b- Minor,0.873637
268.89375,I+,b- Minor,0.621717
269.39375,I,b- Minor,0.862597
270.39375,#IVdim,b- Minor,0.663097
270.89375,III,C Major,0.549883
275.39375,VI,D- Major,0.405528
276.39375,I,D- Major,0.703939
277.39375,III,b- Minor,0.555578
278.14375,V,d- Minor,0.551915
278.89375,III,C Major,0.554499
279.89375,III,A- Major,0.554499
281.39375,IIdim,f Minor,0.606079
283.14375,III,f Minor,0.606079
284.89375,I,C Major,0.85963
285.89375,I,D- Major,0.58984
286.89375,I,B- Major,0.58984
287.39375,bII,A Major,0.386969
287.89375,V,A Major,0.580454
288.89375,I,A Major,0.622356
289.89375,I,f Minor,0.850228
291.39375,V+,c Minor,0.640851
291.89375,III,E- Major,0.452337
292.14375,VI,A- Major,0.935847
294.39375,V,A- Major,0.936228
296.39375,I,A- Major,0.842605
299.39375,V+,f Minor,0.680558
300.39375,I+,f Minor,0.90741
301.39375,I,f Minor,0.722118
302.39375,VII,f Minor,0.962824
303.39375,V,A- Major,0.743778
304.39375,I,A- Major,0.929722
306.39375,I,C Major,0.833662
307.39375,V+,f Minor,0.688503
308.39375,I,f Minor,0.918004
310.39375,VIIdim,f Minor,0.612003
311.39375,I,f Minor,0.918004
311.64375,V,f Minor,0.662224
311.89375,I,F Major,0.89469
312.39375,I,B- Major,0.878074
315.39375,I,E- Major,0.653986
315.64375,IIdim,f Minor,0.642951
315.89375,V+7,f Minor,0.857268
316.39375,VI,f Minor,0.571512
317.39375,I,D- Major,0.89469
318.39375,II,A- Major,0.595838
319.39375,I,G- Major,0.907058
320.39375,VI,A- Major,0.893757
321.64375,I,A- Major,0.907058
322.64375,I,C Major,0.907058
323.39375,V+,f Minor,0.674927
323.89375,IIdim,f Minor,0.60889
324.39375,I,f Minor,0.685001
326.39375,VIIdim,f Minor,0.60889
326.89375,I,f Minor,0.865985
327.39375,V,B- Major,0.695186
328.39375,I,B- Major,0.963364
330.39375,II,B- Major,0.642243
331.39375,VI,B- Major,0.619374
331.64375,I,C Major,0.907058
331.89375,II,F Major,0.57317
332.39375,bVI,D- Major,0.576884
333.39375,I,D- Major,0.865326
334.39375,I,G- Major,0.876269
335.39375,VIIdim,G- Major,0.875857
335.64375,II,G- Major,0.582048
335.89375,I,a- Minor,0.580083
336.39375,I,G- Major,0.876269
337.39375,I,a- Minor,0.580083
338.39375,bVI,C Major,0.673965
339.39375,I,C Major,0.907058
339.64375,V7,F Major,0.871938
339.89375,V,F Major,0.871938
340.39375,I,f Minor,0.873637
341.39375,I,F Major,0.581292
341.89375,I,e- Minor,0.388871
342.64375,I,F Major,0.85963
343.39375,I,e- Minor,0.548997
343.89375,#IVdim,e- Minor,0.512653
344.39375,I,e- Minor,0.548997
344.64375,III,A- Major,0.612188
345.39375,#IVdim,e- Minor,0.512653
345.64375,I,e- Minor,0.548997
345.89375,V,B- Major,0.601938
346.64375,V+,b- Minor,0.592303
