offset,key,numeral,score
0.0,I,D- Major,0.96059
3.0,VI,D- Major,0.96059
3.5,I,D- Major,0.720443
4.0,VIIdim,D- Major,0.96059
4.5,VII,b- Minor,0.697696
5.0,I,A- Major,0.630704
6.0,V,A- Major,0.428517
6.5,I,A- Major,0.642776
7.0,I,D- Major,0.893634
8.0,V7,D- Major,0.893634
8.75,III,D- Major,0.893634
9.0,I,A- Major,0.403642
9.5,III,f Minor,0.393996
11.0,I,D- Major,0.89469
12.0,III,D- Major,0.886818
13.5,I,D- Major,0.89833
15.0,V7,D- Major,0.73864
15.25,VIIdim,D- Major,0.786216
15.5,V,D- Major,0.636021
16.00625,I,D- Major,0.97205
20.00625,VIIdim,D- Major,0.97205
20.50625,V7,D- Major,0.928368
21.00625,I,A- Major,0.630704
22.00625,V,A- Major,0.428517
22.50625,I,A- Major,0.642776
23.00625,I,D- Major,0.893634
24.00625,V7,D- Major,0.893634
24.75625,III,D- Major,0.893634
25.00625,I,A- Major,0.403642
25.50625,III,f Minor,0.393996
27.00625,I,D- Major,0.89469
28.00625,I,f Minor,0.884599
29.00625,III,D- Major,0.569019
29.50625,V,D- Major,0.910768
30.00625,I,D- Major,0.910768
31.00625,III,D- Major,0.607178
31.50625,I,D- Major,0.607178
33.00625,V,D- Major,0.910768
34.00625,I,A- Major,0.598159
35.00625,IV+,a- Minor,0.587147
36.00625,VII,a- Minor,0.87864
36.50625,I,D- Major,0.948751
37.00625,II,D- Major,0.948751
37.50625,I,D- Major,0.948751
40.00625,V,D- Major,0.711563
41.00625,V+,a- Minor,0.624348
41.50625,I+,a- Minor,0.702391
42.50625,VIIdim,a- Minor,0.860912
43.00625,I,a- Minor,0.586029
43.50625,VIIdim,a- Minor,0.624238
44.00625,I,a- Minor,0.943151
46.00625,IV+,a- Minor,0.628767
47.00625,IV,a- Minor,0.943151
48.00625,I,a- Minor,0.943151
52.00625,I,e- Minor,0.598218
53.50625,VI,b- Minor,0.903641
54.00625,I,b- Minor,0.940402
57.50625,I+,b- Minor,0.626935
59.00625,V+7,b- Minor,0.626935
59.50625,I,b- Minor,0.933288
62.00625,IIdim,b- Minor,0.619992
63.00625,IV,b- Minor,0.602522
64.00625,III,b- Minor,0.933127
65.00625,I,b- Minor,0.699845
65.50625,I+,b- Minor,0.933127
66.00625,VIIdim,b- Minor,0.933127
66.50625,V+,b- Minor,0.905402
67.00625,I,b- Minor,0.586029
67.50625,V+,b- Minor,0.628397
68.00625,I+,b- Minor,0.942596
69.00625,IIdim,b- Minor,0.628397
70.00625,III,b- Minor,0.891892
71.00625,VIIdim,D- Major,0.615143
72.00625,I,D- Major,0.729473
75.00625,V,D- Major,0.97263
76.00625,I,D- Major,0.97263
79.00625,VI,D- Major,0.97263
79.50625,I,D- Major,0.720443
80.00625,VIIdim,D- Major,0.96059
80.50625,VII,b- Minor,0.697696
81.00625,I,A- Major,0.630704
82.00625,V,A- Major,0.428517
82.50625,I,A- Major,0.642776
83.00625,I,D- Major,0.893634
84.00625,V7,D- Major,0.893634
84.75625,III,D- Major,0.893634
85.00625,I,A- Major,0.403642
85.50625,III,f Minor,0.393996
86.50625,V,D- Major,0.470212
87.00625,I,D- Major,0.940424
88.00625,III,D- Major,0.940424
89.00625,I,D- Major,0.702415
91.00625,V7,D- Major,0.752924
91.25625,VIIdim,D- Major,0.548159
91.50625,III,D- Major,0.689183
92.0125,I,D- Major,0.97205
96.0125,VIIdim,D- Major,0.97205
96.5125,V7,D- Major,0.928368
97.0125,I,A- Major,0.630704
98.0125,V,A- Major,0.428517
98.5125,I,A- Major,0.642776
99.0125,I,D- Major,0.893634
100.0125,V7,D- Major,0.893634
100.7625,III,D- Major,0.893634
101.0125,I,A- Major,0.403642
104.0125,V+,d- Minor,0.583468
108.0125,I+,c# Minor,0.656401
110.0125,I,c# Minor,0.884599
111.0125,V+,c# Minor,0.873407
113.0125,III,c# Minor,0.865642
114.0125,IIdim,c# Minor,0.611163
115.0125,I,c# Minor,0.916745
117.0125,V+,c# Minor,0.916745
118.0125,I,c# Minor,0.916745
119.0125,V+,c# Minor,0.874302
125.0125,I,c# Minor,0.884599
126.0125,V+,c# Minor,0.874302
127.0125,I,c# Minor,0.884599
128.0125,V+,c# Minor,0.874302
129.0125,I,c# Minor,0.884599
130.0125,I,G# Major,0.907058
131.0125,I+,c# Minor,0.868856
132.0125,I,G# Major,0.907058
133.0125,I,c# Minor,0.902247
134.0125,V+,c# Minor,0.902247
135.0125,I,c# Minor,0.902247
136.0125,I+,c# Minor,0.721797
142.0125,I,c# Minor,0.893742
143.0125,V+,c# Minor,0.868083
145.0125,III,c# Minor,0.844413
146.0125,V+,c# Minor,0.71241
147.0125,I,c# Minor,0.890512
149.0125,V+,c# Minor,0.890512
150.0125,I,c# Minor,0.890512
151.0125,III,E Major,0.892876
156.0125,I,E Major,0.892876
158.0125,III,E Major,0.892876
160.0125,I,E Major,0.892876
162.0125,III,E Major,0.872462
163.5125,I,g# Minor,0.591824
166.0125,III,g# Minor,0.762678
168.0125,I,g# Minor,0.915214
172.0125,IV+,g# Minor,0.68641
174.0125,IV,g# Minor,0.915214
175.0125,V+,c# Minor,0.860087
177.0125,III,c# Minor,0.865642
178.0125,IIdim,c# Minor,0.611163
179.0125,I,c# Minor,0.916745
181.0125,V+,c# Minor,0.916745
182.0125,I,c# Minor,0.916745
183.0125,V+,c# Minor,0.874302
189.0125,I,c# Minor,0.884599
190.0125,V+,c# Minor,0.874302
191.0125,I,c# Minor,0.884599
192.0125,V+,c# Minor,0.874302
193.0125,I,c# Minor,0.884599
194.0125,I,G# Major,0.907058
195.0125,I+,c# Minor,0.868856
196.0125,I,G# Major,0.907058
197.0125,I,c# Minor,0.902247
198.0125,V+,c# Minor,0.902247
199.0125,I,c# Minor,0.902247
200.0125,I+,c# Minor,0.721797
206.0125,I,c# Minor,0.893742
207.0125,V+,c# Minor,0.868083
209.0125,III,c# Minor,0.844413
210.0125,V+,c# Minor,0.71241
211.0125,I,c# Minor,0.890512
213.0125,V+,c# Minor,0.890512
214.0125,I,c# Minor,0.890512
215.0125,III,E Major,0.892876
220.0125,I,E Major,0.892876
222.0125,III,E Major,0.892876
224.0125,I,E Major,0.892876
226.0125,III,E Major,0.872462
227.5125,I,g# Minor,0.591824
230.0125,III,g# Minor,0.743725
232.0125,I,g# Minor,0.89247
236.0125,I+,g# Minor,0.59498
238.0125,IV,g# Minor,0.89247
240.0125,V+,c# Minor,0.741056
244.0125,I,c# Minor,0.761521
246.0125,V+,c# Minor,0.761521
248.0125,III,f# Minor,0.717452
249.0125,I,f# Minor,0.896815
250.0125,V+,f# Minor,0.896815
251.0125,I,f# Minor,0.896815
252.0125,V+,c# Minor,0.88465
254.0125,I,c# Minor,0.88465
255.0125,I+,c# Minor,0.719365
256.0125,V+,c# Minor,0.84276
257.0125,I,c# Minor,0.858512
258.0125,I+,c# Minor,0.7023
259.0125,I,c# Minor,0.858512
261.0125,V+,c# Minor,0.84276
263.0125,I,c# Minor,0.858512
264.0125,V,C# Major,0.800979
268.0125,V7,C# Major,0.800979
268.5125,V+7,c# Minor,0.812084
270.0125,I,c# Minor,0.899342
272.0125,V+,c# Minor,0.749451
276.0125,I,c# Minor,0.761521
278.0125,V,C# Major,0.765457
280.0125,I,C# Major,0.765457
281.5125,V+7,f# Minor,0.901116
282.0125,I,f# Minor,0.762314
284.0125,#IVdim,f# Minor,0.581495
284.5125,I,G# Major,0.680084
285.0125,V+7,c# Minor,0.833786
286.0125,I+,c# Minor,0.70544
287.0125,I,c# Minor,0.70544
290.0125,V+,c# Minor,0.810956
291.0125,I,c# Minor,0.6857
294.0125,V+,c# Minor,0.810956
295.0125,I,c# Minor,0.6857
296.0125,I,C# Major,0.548771
297.0125,V,C# Major,0.881413
298.0125,III,D- Major,0.630245
299.5125,V,D- Major,0.945367
300.0125,I,D- Major,0.97205
304.0125,VIIdim,D- Major,0.97205
304.5125,V7,D- Major,0.928368
305.0125,I,A- Major,0.630704
306.0125,V,A- Major,0.428517
306.5125,I,A- Major,0.642776
307.0125,I,D- Major,0.893634
308.0125,V7,D- Major,0.893634
308.7625,III,D- Major,0.893634
309.0125,I,A- Major,0.403642
309.5125,III,f Minor,0.393996
311.0125,I,D- Major,0.89469
312.0125,I,f Minor,0.884599
313.0125,I+,f Minor,0.569484
313.5125,I,A- Major,0.907058
314.0125,I,D- Major,0.876269
315.0125,VIIdim,D- Major,0.744324
315.5125,Vaug,D- Major,0.710185
316.0125,I,D- Major,0.97205
320.0125,VIIdim,D- Major,0.97205
320.5125,IV+,e- Minor,0.548612
329.0125,V,e- Minor,0.642083
332.0125,I,e- Minor,0.722343
334.0125,IV+,e- Minor,0.677103
334.5125,V7,D- Major,0.874518
336.0125,I,D- Major,0.964399
341.0125,V7,D- Major,0.913627
342.0125,I,e- Minor,0.5224
343.0125,IV+,e- Minor,0.649127
344.0125,I,A- Major,0.629955
346.5125,V7,D- Major,0.874518
348.0125,I,D- Major,0.874518
356.0125,,,
