offset,key,numeral,score
1.0,#IVdim,a Minor,0.765432
3.083333,I,a Minor,0.921977
3.166667,I+,a Minor,0.614651
3.25,IV+,a Minor,0.614651
3.333333,I,a Minor,0.921977
3.666667,I+,a Minor,0.604995
4.166667,I,a Minor,0.884599
4.333333,V+,a Minor,0.70692
5.0,I,a Minor,0.884599
5.333333,V+,a Minor,0.70692
6.0,IV+,a Minor,0.59806
6.25,I+,a Minor,0.768934
6.833333,I,a Minor,0.918242
7.0,V+7,a Minor,0.734593
7.166667,I+,a Minor,0.612161
7.333333,I,a Minor,0.940669
8.0,V+7,a Minor,0.752535
8.166667,I+,a Minor,0.627113
8.333333,I,a Minor,0.940669
9.5,I+,a Minor,0.625131
9.666667,I,a Minor,0.92835
10.333333,I+,a Minor,0.596868
11.083333,I,a Minor,0.921977
11.166667,I+,a Minor,0.614651
11.25,IV+,a Minor,0.614651
11.333333,I,a Minor,0.921977
11.666667,I+,a Minor,0.604995
12.166667,I,a Minor,0.902084
12.333333,V+,a Minor,0.721667
13.0,I+,a Minor,0.601389
13.666667,I,a Minor,0.902084
14.333333,I+,a Minor,0.590232
15.083333,I,a Minor,0.921977
15.166667,I+,a Minor,0.614651
15.25,IV+,a Minor,0.614651
15.333333,I,a Minor,0.921977
15.666667,I+,a Minor,0.604995
16.166667,I,a Minor,0.895351
16.333333,V+,a Minor,0.716281
17.0,IV+,a Minor,0.671513
17.5,I,a Minor,0.895351
17.666667,I,E Major,0.679927
17.833333,I+,a Minor,0.685549
18.25,I,a Minor,0.859333
18.333333,I,E Major,0.679927
18.5,I,A Major,0.621706
18.666667,I,E Major,0.679927
19.0,I,D Major,0.641157
19.25,I+,a Minor,0.75804
19.833333,I,a Minor,0.930899
20.0,V+7,a Minor,0.75283
20.166667,I+,a Minor,0.627358
20.333333,I,a Minor,0.941038
21.333333,IV+,a Minor,0.705778
21.5,I,a Minor,0.917437
21.666667,I,E Major,0.679927
21.833333,I+,a Minor,0.685549
