"piano_romantic/CrossEra-1401_Brahms_Glenn_Gould_01-intermezzo_e-flat-major_Op.117-1.mp3",0.000000000,"N"
,1.500000000,"Eb_maj"
,23.200000000,"F_min_min7"
,25.700000000,"Eb_maj"
,28.100000000,"F_min_min7"
,30.400000000,"Eb_maj"
,33.300000000,"Bb_maj"
,34.300000000,"A_maj"
,35.100000000,"G_min"
,36.000000000,"Bb_maj_maj7"
,40.300000000,"C_min_min7"
,40.800000000,"Bb_maj_min7"
,44.500000000,"Eb_maj"
,52.800000000,"C_min"
,56.400000000,"C_min_min7"
,57.900000000,"F_maj_min7"
,61.700000000,"Bb_maj"
,64.400000000,"Eb_maj"
,87.800000000,"E_maj"
,88.300000000,"Ab_min_min7"
,89.500000000,"F#_maj"
,90.400000000,"E_maj"
,91.400000000,"Eb_maj"
,93.400000000,"Eb_min_min7"
,95.200000000,"Ab_min"
,97.500000000,"Eb_maj"
,99.600000000,"Eb_min_min7"
,100.600000000,"Ab_min_min7"
,102.600000000,"E_maj_maj7"
,104.000000000,"Eb_maj"
,106.200000000,"C#_min"
,107.600000000,"Bb_maj_min7"
,108.800000000,"Eb_min"
,109.800000000,"C#_dim_min7"
,111.000000000,"B_aug"
,112.300000000,"Bb_min_min7"
,114.000000000,"Ab_min"
,116.300000000,"Bb_maj"
,117.600000000,"Eb_min"
,119.500000000,"Bb_maj_min7"
,125.400000000,"Eb_min"
,129.300000000,"F_dim_min7"
,132.500000000,"Bb_min"
,134.100000000,"Eb_min_min7"
,137.400000000,"C_maj_min7"
,138.700000000,"F_maj"
,141.200000000,"F_maj_min7"
,142.000000000,"C#_maj"
,142.700000000,"C_min_min7"
,145.600000000,"C#_maj"
,146.300000000,"F#_maj_min7"
,148.300000000,"C_dim_min7"
,151.100000000,"F_maj_min7"
,151.800000000,"C#_maj"
,152.600000000,"C_maj"
,153.500000000,"Bb_maj_min7"
,154.500000000,"F#_maj"
,155.800000000,"F_maj"
,157.400000000,"Eb_min"
,160.200000000,"Ab_min"
,161.500000000,"E_maj"
,163.000000000,"Bb_maj_min7"
,163.700000000,"Bb_dim_min7"
,165.100000000,"Eb_maj_min7"
,167.700000000,"Ab_maj_min7"
,170.900000000,"E_maj_maj7"
,172.100000000,"Bb_maj"
,172.800000000,"Bb_dim_min7"
,174.400000000,"E_dim_min7"
,175.600000000,"Eb_maj_maj7"
,179.300000000,"Eb_min"
,182.300000000,"Bb_aug"
,184.000000000,"F_maj"
,185.000000000,"Eb_min"
,189.000000000,"Ab_maj_min7"
,190.000000000,"E_maj"
,192.300000000,"Eb_min"
,198.700000000,"Bb_maj"
,202.100000000,"Eb_maj_min7"
,204.300000000,"B_maj"
,205.400000000,"Eb_maj"
,212.000000000,"C_min_min7"
,213.500000000,"Eb_maj"
,220.200000000,"Eb_maj_maj7"
,222.300000000,"C_min"
,223.400000000,"Eb_maj"
,228.500000000,"Bb_maj_min7"
,229.400000000,"Eb_maj"
,232.400000000,"F_min_min7"
,235.000000000,"Eb_maj"
,237.600000000,"F_min_min7"
,239.800000000,"Eb_maj_maj7"
,244.700000000,"Bb_maj"
,246.100000000,"F_maj_min7"
,248.800000000,"C_min_min7"
,250.700000000,"Bb_maj_min7"
,253.200000000,"Eb_maj"
,262.400000000,"C_min"
,267.200000000,"A_dim_dim7"
,269.800000000,"D_maj_min7"
,270.900000000,"G_min"
,274.000000000,"Eb_maj"
,289.200000000,"C_min"
,291.400000000,"Eb_maj"
,294.300000000,"Bb_maj_min7"
,297.400000000,"Ab_maj"
,306.100000000,"Eb_maj"
,311.500000000,"Bb_maj"
,315.400000000,"Eb_maj"
,333.700000000,"N"
,333.700000000,"N"
"piano_romantic/CrossEra-1402_Brahms_Glenn_Gould_02-intermezzo_b-flat-minor_Op.117-2.mp3",0.000000000,"N"
,1.200000000,"C_dim"
,2.400000000,"Bb_min"
,3.800000000,"C_dim_min7"
,4.700000000,"Bb_min_min7"
,6.900000000,"Eb_min_min7"
,8.600000000,"Ab_maj_min7"
,9.200000000,"C#_maj_maj7"
,11.300000000,"C_dim_min7"
,14.400000000,"F_maj_min7"
,21.300000000,"F#_min"
,23.500000000,"Eb_min_min7"
,26.000000000,"C_dim"
,27.100000000,"Bb_min"
,28.400000000,"C_dim_min7"
,29.400000000,"C#_maj_maj7"
,30.400000000,"Bb_min"
,31.300000000,"C_maj_min7"
,32.200000000,"F_maj_min7"
,34.000000000,"Bb_maj_min7"
,34.700000000,"Eb_maj_min7"
,36.700000000,"Ab_maj_min7"
,38.000000000,"C#_maj_min7"
,40.300000000,"F_min"
,43.500000000,"C_maj_min7"
,46.200000000,"F_min"
,47.900000000,"Ab_maj_min7"
,49.400000000,"C#_maj_min7"
,55.900000000,"F#_min"
,57.200000000,"C#_maj_min7"
,58.500000000,"D_maj_maj7"
,65.000000000,"F_min_min7"
,66.200000000,"Ab_maj_min7"
,67.500000000,"C#_maj"
,69.700000000,"Ab_maj_min7"
,72.300000000,"Bb_min_min7"
,78.500000000,"Eb_min"
,81.000000000,"Bb_maj_min7"
,82.400000000,"B_maj_min7"
