offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.142857,0.142857,0.142857,0.142857,0.0,0.214286,0.0,0.142857,0.071429,0.0,0.0,0.0,1.0,,,,
3.5,0.419847,0.0,0.0,0.0,0.145038,0.221374,0.007634,0.099237,0.099237,0.0,0.007634,0.0,1.0,F,True,V,Major
21.0,0.0,0.201923,0.0,0.019231,0.038462,0.096154,0.221154,0.038462,0.076923,0.0,0.173077,0.134615,1.0,F,True,bII,Major
33.0,0.248563,0.098421,0.004922,0.0,0.200996,0.078753,0.0,0.166522,0.019688,0.0,0.182086,0.0,1.0,F,True,V7,Dominant seventh
55.0,0.375,0.0625,0.0,0.0,0.125,0.1875,0.0,0.125,0.125,0.0,0.0,0.0,1.0,F,True,VIIhdim7,Half-diminished seventh
57.0,0.232143,0.071429,0.035714,0.0,0.232143,0.071429,0.0,0.214286,0.071429,0.0,0.071429,0.0,1.0,F,True,V,Major
61.0,0.0,0.111111,0.063492,0.047619,0.0,0.269841,0.0,0.190476,0.190476,0.0,0.0,0.126984,1.0,F,False,VI,Major
65.0,0.0,0.0,0.125,0.0,0.0625,0.3125,0.0,0.25,0.0,0.0,0.0,0.25,1.0,F,True,V,Major
66.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,F,True,V7,Dominant seventh
67.0,0.166667,0.0625,0.072917,0.0625,0.072917,0.25,0.03125,0.125,0.125,0.0,0.03125,0.0,1.0,F,True,V,Major
75.0,0.283784,0.121622,0.0,0.081081,0.0,0.040541,0.162162,0.081081,0.108108,0.0,0.121622,0.0,1.0,F,True,bII,Major
81.0,0.214286,0.071429,0.0,0.071429,0.0,0.0,0.142857,0.0,0.428571,0.0,0.071429,0.0,1.0,F,True,V,Major
84.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,F,True,VIIdim,Diminished
85.0,0.071429,0.357143,0.0,0.071429,0.0,0.071429,0.214286,0.0,0.071429,0.0,0.142857,0.0,1.0,F,True,I,Major
87.0,0.0,0.25,0.0,0.25,0.0,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.0,1.0,F,True,IV,Major
90.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,1.0,F,True,V,Major
91.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,F,True,FreVI,French sixth
92.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,1.0,F,True,V,Major
93.0,0.028542,0.057084,0.0,0.085712,0.0,0.114254,0.114254,0.0,0.600154,0.0,0.0,0.0,1.0,F,True,I,Major
97.0,0.095221,0.166655,0.023787,0.047575,0.0,0.071434,0.071434,0.0,0.500179,0.0,0.023787,0.0,1.0,F,True,V7,Dominant seventh
101.0,0.083323,0.229154,0.0,0.062508,0.0,0.208276,0.083323,0.0,0.333417,0.0,0.0,0.0,1.0,F,True,I,Major
105.0,0.195604,0.195669,0.0,0.184777,0.0,0.086942,0.043439,0.0,0.293439,0.0,0.0,0.0,1.0,F,True,V7,Dominant seventh
109.0,0.02775,0.0555,0.0,0.083333,0.0,0.111083,0.111083,0.0,0.61125,0.0,0.0,0.0,1.0,F,True,I,Major
113.0,0.095221,0.166655,0.023787,0.047575,0.0,0.071434,0.071434,0.0,0.500179,0.0,0.023787,0.0,1.0,F,True,V7,Dominant seventh
117.0,0.0,0.122208,0.0,0.0,0.0,0.277819,0.111141,0.0,0.377825,0.0,0.088939,0.022201,1.0,F,True,I,Major
121.0,0.124962,0.09991,0.0,0.024977,0.0,0.049955,0.149865,0.024977,0.174917,0.0,0.324932,0.024977,1.0,F,True,IV,Major
125.0,0.380912,0.047578,0.0,0.047578,0.047578,0.047578,0.095156,0.0,0.095156,0.142735,0.095156,0.0,1.0,F,True,V,Major
126.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,True,V7,Dominant seventh
