0.0,V7,F# Major,0.5
0.5,V7,F# Major,0.5181818181818182
1.5,III,F# Major,0.375
2.5,V7,F# Major,0.3163636363636363
4.5,VII,g# Minor,0.3120498614958448
6.5,VII,g# Minor,0.4069264069264069
7.5,V+7,g# Minor,0.3416472006631
10.5,II7,F# Major,0.6458333333333334
11.5,II7,F# Major,0.39769754055468337
12.5,V7,F# Major,0.29410726109026697
13.5,V7,F# Major,0.26748801692773005
14.5,V7,F# Major,0.2707850340621322
2561/160,V7,F# Major,0.43662518552346147
2761/160,III,F# Major,0.36674908763949854
3081/160,I,F# Major,0.3889980664281326
3401/160,V,B Major,0.3839285714285714
3561/160,V,B Major,0.2500709219858156
3721/160,III,B Major,60/299
3881/160,V7,B Major,0.33665910808767946
12059/480,V7,B Major,0.3526406288381234
12539/480,V7,B Major,0.28426666666666667
13499/480,II7,B Major,0.345475372279496
13979/480,II,C# Major,0.5042372881355932
14459/480,II7,C# Major,0.42337839983390124
14939/480,II7,C# Major,14617/43930
15419/480,II7,C# Major,466/1771
15899/480,VI,C# Major,0.4114285714285714
7951/240,VI,C# Major,0.5555555555555556
8191/240,II7,C# Major,0.42698412698412697
8431/240,II7,C# Major,0.28907709552870847
8911/240,III,f# Minor,0.30488850771869647
9151/240,III,f# Minor,0.27948775589725144
9871/240,V,D Major,0.35399644279803183
10111/240,I,D Major,0.4385685093283087
4141/96,IV+,f# Minor,0.45495495495495486
4237/96,I,f# Minor,0.32386363636363635
4333/96,FreVI,d# Minor,0.394275161588181
4429/96,FreVI,d# Minor,0.4190476190476191
4525/96,VII,g# Minor,0.29590643274853806
4621/96,VII,g# Minor,185/552
4717/96,I,g# Minor,773/2520
4909/96,I,g# Minor,353/756
5005/96,III,g# Minor,55/156
5101/96,VII,g# Minor,219/580
5197/96,IV+,g# Minor,911/1728
5293/96,V7,F# Major,2241/7568
5389/96,V,F# Major,79/273
5485/96,V,F# Major,33/91
5581/96,I,C# Major,547/915
5677/96,I,C# Major,11/25
5773/96,I,g# Minor,353/756
5869/96,III,g# Minor,55/156
5965/96,V7,F# Major,361/870
6061/96,V7,F# Major,67/132
6157/96,V7,C# Major,58/175
6253/96,V7,C# Major,1/3
6349/96,VI,C# Major,7729/21385
6445/96,IV,C# Major,0.21412770236299647
6541/96,I,E Major,0.5043478260869565
6637/96,I,E Major,0.3194139194139194
6733/96,IV,E Major,0.37886754297269976
6829/96,II7,E Major,0.24805659203980102
7021/96,I,E Major,0.3119968372627947
7117/96,I,E Major,0.498989898989899
7213/96,I,E Major,0.3947368421052632
7309/96,I,E Major,0.5043478260869565
7405/96,I,E Major,0.3533061224489796
7501/96,IV,E Major,0.3540675844806007
7597/96,I,E Major,0.3691261119832549
7693/96,V+7,f# Minor,0.35026666666666667
7789/96,I,f# Minor,0.4106520657043305
7885/96,III,f# Minor,0.3325817741284157
7981/96,III,f# Minor,0.3713921901528014
8077/96,V+7,f# Minor,0.42513175230566536
8173/96,IIdim7,f# Minor,0.3749575551782683
8269/96,II,E Major,0.48139768728004023
8365/96,V,E Major,0.4022633744855968
8461/96,V+7,f# Minor,0.34212995506517774
8749/96,I,f# Minor,0.37121495327102805
9037/96,V,b Minor,0.44343917510422876
9325/96,V,b Minor,0.39794656110836224
9421/96,V7,F# Major,0.2921511627906977
9517/96,V7,F# Major,0.5090909090909091
9613/96,V7,F# Major,0.5181818181818182
9709/96,III,F# Major,0.375
9805/96,GerVI,F# Major,0.27411643634181176
10093/96,FreVI,B Major,0.26121036154480975
10189/96,VII,g# Minor,0.3357428502842428
10285/96,V+7,g# Minor,0.3231874831325385
10573/96,II7,F# Major,35/66
10669/96,II7,F# Major,12551/31749
10765/96,V7,F# Major,13746/45379
10861/96,V7,F# Major,49447/148534
10957/96,II7,F# Major,0.40091463414634143
13697/120,V7,F# Major,0.29410726109026697
13817/120,V7,F# Major,0.26748801692773005
13937/120,II7,F# Major,2877/10400
55751/480,GerVI,F# Major,0.2788906624102155
56711/480,II7,F# Major,493/1440
59111/480,I,F# Major,62/105
60071/480,I,F# Major,0.627906976744186
