offset,tonic,key,numeral
0.0,Db,M,I
3.0,Db,M,V7
4.0,Db,M,I
7.0,Db,M,V7
7.5,Db,M,I
8.0,Db,m,V+7
10.0,Db,m,IIdim
10.5,Db,m,V+7
11.0,Db,m,IIdim
11.5,Db,m,V+7
14.0,Db,m,IIdim
14.5,Db,m,V+7
15.0,Db,m,IIdim
15.5,Db,m,V+7
16.0,Db,M,I
19.0,Db,M,V7
20.0,Db,M,I
23.0,Db,M,V7
23.5,Db,M,I
24.0,Gb,M,I
28.0,Gb,M,V7
29.0,Gb,M,I
30.0,Gb,M,V7
31.0,Gb,M,I
32.0,Ab,M,V7
34.0,Db,M,V7
36.0,Gb,M,V7
38.0,Cb,M,V7
40.0,Gb,M,IV
41.0,Gb,M,I
42.0,Gb,M,V
43.0,Gb,M,I
44.0,Gb,M,IV
45.0,Gb,M,I
46.0,Gb,M,V7
47.0,Gb,M,I
48.0,Db,M,I
51.0,Db,M,V7
52.0,Db,M,I
55.0,Db,M,V7
55.5,Db,M,I
59.0,Db,M,V7
60.0,Db,M,I
63.5,Db,M,V7
64.0,Eb,m,VIIdim7
66.0,F,m,VIIdim7
68.0,Bb,m,VIIdim7
70.0,Eb,m,VIIdim7
72.0,F,m,VIIdim7
74.0,Db,M,I
75.0,Db,M,II
76.0,Db,M,I
79.0,Db,M,V7
80.0,Db,M,I
81.0,Db,M,V7
82.0,Db,M,I
83.0,Eb,m,V+7
84.0,Eb,m,I
85.0,Ab,M,VIIdim7
86.0,Ab,M,I
87.0,Ab,M,V7
88.0,Ab,M,I
91.0,Ab,M,V7
92.0,Ab,M,I
95.0,Ab,M,V7
96.0,Ab,M,I
