offset,tonic,key,numeral
0.0,F,m,I
1.0,F,m,V+
2.0,F,m,I
3.0,F,m,VIIdim7
4.0,C,M,VIIdim7
6.0,C,M,I
13.0,C,M,V
14.0,C,M,I
21.0,Db,M,VIIdim
23.0,Eb,M,V7
25.0,Eb,M,I
27.0,Eb,M,IV
28.0,Ab,M,II
29.0,Ab,M,V
30.0,Ab,M,I
34.0,Ab,M,V
36.0,Ab,M,I
38.0,Ab,M,V
40.0,Ab,M,I
42.0,Ab,M,V
43.0,Ab,M,I
47.0,F,m,V+
48.0,F,m,I
50.0,F,m,V+
52.0,F,m,I
54.0,F,m,V+
56.0,F,m,I
58.0,F,m,V
60.0,F,m,VIIdim7
62.0,F,m,V
64.0,F,m,I
66.0,F,m,IIdim
68.0,F,m,I
69.0,F,m,V+7
70.0,F,m,VI
71.0,F,m,IV
72.0,F,m,I
73.0,F,m,V+
74.0,F,m,I
75.0,F,m,V+
77.0,C,M,V
78.0,C,M,IV
80.0,Db,M,I
92.0,Db,M,V
94.0,Db,M,I
110.0,Gb,M,I
120.0,Gb,M,V
126.0,Gb,M,I
137.0,Eb,m,V+
139.0,Eb,m,I
141.0,Eb,m,V+
142.0,Eb,m,I
147.0,Db,M,V
149.0,Db,M,I
159.0,Db,M,V
162.0,Db,M,IV
164.0,Db,M,I
175.0,Db,M,V
181.0,Db,M,I
191.5,F,m,I
192.5,F,m,V+
193.5,F,m,I
194.5,F,m,VIIdim7
195.5,C,M,VIIdim7
197.5,C,M,I
204.5,C,M,V
205.5,C,M,I
207.5,F,m,I
208.5,F,m,V+
209.5,F,m,I
210.5,F,m,VIIdim7
211.5,C,M,VIIdim7
213.5,C,M,I
220.5,C,M,V
221.5,C,M,I
224.5,C,M,V
225.5,C,M,I
228.5,Db,M,I
230.5,Eb,M,V7
232.5,Eb,M,I
234.5,Eb,M,IV
235.5,Ab,M,II
236.5,Ab,M,V
237.5,Ab,M,I
241.5,Ab,M,V
243.5,Ab,M,I
245.5,Ab,M,V
247.5,Ab,M,I
249.5,Ab,M,II
250.5,Ab,M,I
251.5,Ab,M,V
254.5,F,m,V+
255.5,F,m,I
257.5,F,m,V+
259.5,F,m,I
261.5,F,m,V+
263.5,F,m,I
267.5,F,m,V+
271.5,F,m,I
273.5,F,m,IIdim
275.5,F,m,I
276.5,F,m,V+
277.5,F,m,VI
278.5,F,m,IV
283.5,F,m,I
284.5,F,m,V+
289.5,F,m,I
295.5,F,m,V+
299.5,F,m,I
303.5,F,m,IV
307.5,F,m,I
311.5,F,m,V+
313.5,F,m,I
