offset,tonic,key,numeral
0.0,Bb,m,I
9.0,Bb,m,V+7
12.0,Bb,m,I
5041/240,Bb,m,V+7
3841/160,Bb,m,I
4801/160,Bb,m,III
5281/160,Bb,m,VI
5761/160,Bb,m,III
6241/160,Gb,m,I
6721/160,Gb,m,V+
7201/160,Gb,m,I
7681/160,Bb,m,V+7
8161/160,Bb,m,I
9121/160,Bb,m,V+7
9601/160,Bb,m,I
8281/120,Bb,m,V+7
8641/120,Bb,m,I
9361/120,Eb,m,V+7
9721/120,Eb,m,I
10081/120,F,m,V+7
10441/120,Bb,m,V+7
7201/80,Bb,m,I
7601/80,Bb,m,V+7
7681/80,Bb,m,I
7841/80,Bb,m,IV
7921/80,Bb,m,I
8081/80,Bb,m,V+7
8161/80,Bb,m,VI
8321/80,B,m,V+7
8401/80,B,m,I
8561/80,Bb,m,V+7
8641/80,Bb,m,I
9121/80,Db,M,I
9361/80,F,M,VIIdim
9601/80,Db,M,V7
10801/80,Db,M,I
11281/80,F,M,VIIdim
11521/80,D,M,I
11761/80,D,M,IV
12001/80,D,M,I
12241/80,D,M,VIIdim
12481/80,Db,M,V7
12721/80,Db,M,I
13201/80,F,M,VIIdim
13441/80,Db,M,V7
14641/80,Db,M,I
15121/80,F,M,VIIdim
15361/80,F,M,I
15601/80,F,M,IV
15841/80,F,M,I
16081/80,F,M,VIIdim
16321/80,Db,M,V7
16561/80,Db,M,I
16801/80,Db,M,V
17041/80,Eb,m,V+7
17281/80,Eb,m,I
17521/80,Db,M,V7
17761/80,Db,M,I
18241/80,Ab,M,V7
18561/80,Db,M,V7
18721/80,Db,M,I
18961/80,F,M,VIIdim
19201/80,D,M,I
19441/80,D,M,IV
19681/80,D,M,I
19921/80,D,M,VIIdim
20161/80,Db,m,V+7
20401/80,Db,m,I
20641/80,Db,m,V
20881/80,Eb,m,V+7
21121/80,Eb,m,I
21361/80,Db,m,V+7
21681/80,Db,m,I
22081/80,Ab,M,V7
22401/80,Db,M,V7
22561/80,Db,M,I
22801/80,Db,M,V7
23041/80,Db,M,I
23281/80,Db,M,IV
23521/80,Db,M,I
23761/80,Db,M,VIIdim
24001/80,Db,m,V+7
24241/80,Db,m,I
24481/80,Gb,m,V+7
33841/80,Bb,m,I
34321/80,Bb,m,V+7
34561/80,Bb,m,I
35281/80,Bb,m,V+7
35521/80,Bb,m,I
36001/80,Eb,m,V+7
36241/80,Eb,m,I
27361/60,F,M,V7
27541/60,Bb,m,V+7
27721/60,Bb,m,I
28021/60,Bb,m,V+7
28081/60,Bb,m,I
28201/60,Bb,m,IV
28261/60,Bb,m,I
28381/60,Bb,m,V+7
28441/60,Bb,m,VI
28561/60,B,M,V7
28621/60,B,M,I
28741/60,B,M,V7
28801/60,Bb,m,I
28981/60,Eb,M,GerVI
29161/60,Bb,M,I
29341/60,Eb,m,GerVI
29521/60,Bb,M,I
29701/60,Eb,M,GerVI
30241/60,Bb,M,I
