1,2,3,4,5,6,7,8,9,10,11,12,Validity
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.538462,0.230769,0.230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.470588,0.294118,0.235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4375,0.3125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.275862,0.172414,0.172414,0.172414,0.172414,0.034483,0.0,0.0,0.0,0.0,0.0,0.0,True
0.288249,0.171175,0.171175,0.171175,0.171175,0.02705,0.0,0.0,0.0,0.0,0.0,0.0,True
0.26669,0.199929,0.170376,0.170376,0.170376,0.022254,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.30008,0.19992,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.25,0.25,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.25,0.25,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
