offset,tonic,key,chord
44.5,E,M,V
45.0,E,M,VI
52.5,E,M,II
54.0,E,M,I
59.5,E,M,V
60.0,E,M,I
65.5,E,M,V
66.0,E,M,I
71.5,E,M,V
72.0,E,M,I
76.5,E,M,V
78.0,E,M,I
82.5,E,M,V
84.0,E,M,I
111.0,F#,m,V+
119.5,F#,m,I
121.0,F#,m,V+
123.0,F#,m,VI
124.0,F#,m,I
137.0,B,m,V+
140.5,B,m,I
155.5,B,m,I
157.5,B,m,VI
161.5,A,m,V+
169.0,A,m,I
169.5,A,m,II
171.0,A,M,V
173.5,A,M,I
176.5,A,M,I
177.0,A,M,II
191.5,A,M,I
192.0,A,M,V
194.5,A,M,I
199.0,A,M,I
199.5,A,M,V
201.0,A,M,VI
208.5,A,M,II
210.0,A,M,I
215.5,A,M,V
216.0,A,M,I
221.5,A,M,V
222.0,A,M,I
225.0,A,M,V
228.0,A,M,I
232.5,A,M,V
234.0,A,M,I
238.5,A,M,V
240.0,A,M,I
241.0,A,M,V
242.5,A,M,I
244.0,A,M,V
245.5,A,M,I
247.0,A,M,V
248.5,A,M,I
254.5,A,M,DimVII7
273.0,A,M,I
274.5,A,M,VI
279.0,A,M,V
280.5,A,M,I
282.0,A,M,II
283.5,A,M,V
287.5,A,M,I
290.5,A,M,V
304.5,A,M,I
