offset,tonic,key,chord
0.0,Gb,M,I
0.5,Gb,M,IV
1.0,Gb,M,I
2.5,Gb,M,IV
3.0,Gb,M,I
4.0,Gb,M,I
5.0,Gb,M,II
7.0,Gb,M,V
8.0,Gb,M,I
8.5,Gb,M,IV
9.0,Gb,M,I
10.5,Gb,M,IV
11.0,Gb,M,I
12.0,Gb,M,II
14.0,Gb,M,III
16.0,Gb,M,I
16.5,Gb,M,IV
17.0,Gb,M,I
18.5,Gb,M,IV
19.0,Gb,M,I
20.0,Gb,M,V
21.0,Gb,M,II
23.0,Gb,M,V
24.0,Gb,M,I
24.5,Gb,M,IV
25.0,Gb,M,I
26.5,Gb,M,IV
27.0,Gb,M,I
28.0,Gb,M,V
30.0,Gb,M,I
32.0,Db,M,V7
33.0,Db,M,VI
33.5,Db,M,I
34.0,Db,M,V
35.0,Db,M,I
36.0,Db,M,V
37.0,Db,M,I
38.0,Db,M,V
39.0,Db,M,I
40.5,Db,M,V
41.0,Db,M,VI
41.5,Db,M,I
42.0,Db,M,V
43.0,Db,M,I
44.0,Db,M,V
48.0,Db,M,IV
52.0,Db,M,II
56.0,Gb,m,III
58.0,Db,m,IV
61.0,Db,m,I
62.0,Db,m,DimVII
80.0,Db,m,I
90.0,G♭,M,V
96.0,G♭,M,I
96.5,G♭,M,IV
97.0,G♭,M,I
98.5,G♭,M,IV
99.0,G♭,M,I
100.0,G♭,M,V
101.0,G♭,M,II
103.0,G♭,M,V
104.0,G♭,M,I
104.5,G♭,M,IV
105.0,G♭,M,I
106.5,G♭,M,IV
107.0,G♭,M,I
108.0,G♭,M,II
109.0,G♭,M,III
110.0,G♭,M,II
111.0,G♭,M,III
112.0,G♭,M,II
113.0,G♭,M,I
114.0,G♭,M,V
115.0,G♭,M,I
116.0,G♭,M,II
117.0,G♭,M,I
118.0,G♭,M,V
119.0,G♭,M,I
120.0,G♭,M,II
122.0,G♭,M,V7
135.5,G♭,M,I
136.5,G♭,M,V
137.5,G♭,M,I
138.5,G♭,M,V
139.5,G♭,M,VI
140.5,G♭,M,V
141.5,G♭,M,I
142.5,G♭,M,V
143.5,G♭,M,I
144.5,G♭,M,V
145.5,G♭,M,I
146.5,G♭,M,V
147.5,G♭,M,VI
148.5,G♭,M,V
149.5,G♭,M,I
151.0,G♭,M,V
151.5,G♭,M,I
153.0,G♭,M,V
153.5,G♭,M,I
155.0,G♭,M,V
155.5,G♭,M,VI
156.0,G♭,M,V
156.5,G♭,M,VI
157.0,G♭,M,V
157.5,G♭,M,I
