offset,tonic,key,numeral
0.0,C,m,I
2.0,C,m,V+7
4.0,C,m,I
10.0,C,m,V+7
12.0,C,m,I
18.0,C,m,IV
20.0,C,m,VIIdim
22.0,C,m,III
24.0,G,m,IIdim
28.0,G,m,V+7
32.0,G,m,I
34.0,G,m,V+7
36.0,G,m,I
42.0,G,m,V+7
44.0,G,m,I
50.0,C,m,V+7
52.0,C,m,I
54.0,C,m,V+7
56.0,C,m,I
58.0,F,m,V+7
60.0,F,m,I
62.0,F,m,V+7
64.0,F,m,I
66.0,F,m,V+7
68.0,F,m,I
74.0,F,m,V+7
76.0,F,m,I
84.0,F,m,VI
88.0,F,m,V
92.0,C,m,VIIdim
96.0,C,m,I
97.0,C,m,IV
98.0,C,m,I
99.0,C,m,V
100.0,C,m,I
102.0,C,m,V+7
104.0,F,m,V+7
106.0,Bb,m,V+7
108.0,Eb,m,V+7
110.0,Ab,m,V+7
112.0,C,m,GerVI
116.0,C,m,I
119.0,C,m,V+7
120.0,C,m,I
122.0,C,m,V+
124.0,C,m,I
128.0,C,m,I
130.0,C,m,V
132.0,C,m,I
