offset,tonic,key,chord
7.0,B,M,II
11.0,B,M,V
21.0,B,M,V
26.0,B,M,II
26.5,B,M,I
30.0,B,M,V
43.0,B,M,I
44.0,B,M,V
45.0,B,M,I
46.0,G#,m,V+7
47.0,G#,m,VI
48.0,C#,m,V+
51.0,C#,m,V
27841/480,F#,M,IV
29761/480,C#,m,V+7
30241/480,C#,m,I
36961/480,C#,m,VI
39841/480,C#,m,V
40801/480,C#,m,I
41761/480,C#,m,V
42721/480,D#,m,V+7
43681/480,D#,m,I
44641/480,D#,m,IV
45601/480,D#,m,I
46561/480,D#,m,V+7
47521/480,D#,m,I
48481/480,D#,m,IV
49441/480,D#,m,I
50401/480,D#,m,IV
51361/480,D#,m,I
26243/240,D#,m,IV
17823/160,D#,m,I
20543/160,D#,m,II
23103/160,D#,m,II
23183/160,D#,m,VI
23583/160,D#,m,II
23903/160,Ab,M,I
24063/160,Ab,M,V7
24863/160,Ab,M,I
25503/160,Ab,M,II
26463/160,Ab,M,IV
26783/160,Ab,M,V
27423/160,Ab,M,VI
28383/160,Ab,M,V
29343/160,F,m,V+7
29663/160,F,m,IV
29983/160,F,m,V+7
30303/160,G,m,II7
30623/160,G,m,V+
30943/160,G,m,IV
31263/160,G,m,V+
31583/160,G,m,I+
31903/160,A,m,V+7
32223/160,A,m,I
32543/160,A,m,V+
32863/160,F,M,DimVII7
33203/160,Bb,M,I
33523/160,Bb,M,V7
33843/160,Bb,M,III
34163/160,A,M,DimVII7
34483/160,Ab,M,I
34803/160,Ab,M,V
35123/160,Ab,M,VI
35763/160,Ab,M,IV
36083/160,Ab,M,II
37043/160,Ab,M,V
37683/160,Ab,M,I
38643/160,Ab,M,V
38963/160,Ab,M,I
39283/160,C,m,DimVII7
39923/160,Ab,M,V
40883/160,Ab,M,V
41523/160,Ab,M,I
41843/160,Db,M,V7
42803/160,Db,M,II
43283/160,E♭,M,V
13033/48,E♭,M,I
6719/24,B,M,V
136721/480,B,M,V
46401/160,B,M,II
11721/40,B,M,V7
36761/120,G,M,V
311.40625,F,M,V
312.40625,G,M,bII
312.90625,G,M,I
313.40625,B,M,I
313.90625,B,M,IV
314.40625,B,M,I
315.40625,B,M,V
316.40625,B,M,I
319.40625,B,M,II
320.40625,B,M,III
323.40625,B,M,II
324.40625,G#,M,V
328.40625,C#,M,V7
329.40625,B,M,V7
330.40625,B,M,I
338.40625,B,M,IV
342.40625,B,M,V
346.40625,B,M,I
350.40625,E,m,V+7
354.40625,E,m,I
358.40625,B,M,I
360.40625,B,M,V
362.40625,B,M,I
373.40625,B,M,III
374.40625,B,M,I
377.40625,B,M,IV
378.40625,B,M,I
381.40625,B,M,V
382.40625,B,M,I
