offset,tonic,key,chord
1.0,E,M,I
5.0,E,M,V
9.0,E,M,VI
11.0,A,M,V
13.0,A,M,I
15.0,F#,m,V+
17.0,F#,m,I
19.0,F#,m,DimVII
23.0,E,M,V
25.0,E,M,I
31.0,E,M,V
33.0,E,M,VI
35.0,E,M,I
37.0,E,M,V
41.0,E,M,VI
43.0,A,M,V
45.0,A,M,I
47.0,B,M,IV
51.0,B,M,II
53.0,G#,m,V+
55.0,G#,m,I
56.0,F#,M,V
57.0,F#,M,I
59.0,F#,M,VI
61.0,B,M,V
63.0,B,M,I
65.0,F#,m,dimVII
67.0,F#,m,II
69.0,F#,m,V+
71.0,F#,m,I
73.0,G#,m,IV
75.0,G#,m,II
77.0,G#,m,V+7
79.0,F#,m,IV
81.0,F#,m,V+7
83.0,E,m,IV
85.0,E,m,V+7
87.0,E,m,II
91.0,E,m,GerVI
92.0,E,m,I
93.0,E,M,V
97.0,E,M,VI
99.0,E,M,I
101.0,E,M,V
105.0,C,M,VI
107.0,C,M,I
109.0,C,M,V
113.0,C,M,GerVI
117.0,C,M,V
119.0,C,M,I
121.0,C,M,II
123.0,C,M,V
125.0,C,M,I
129.0,C,M,VI
133.0,B,M,V
137.0,E,M,IV
140.0,E,M,V
141.0,E,M,IV
141.5,E,M,I
145.0,E,M,VI
147.0,E,M,II
150.0,E,M,DimVII
151.0,E,M,I
152.0,E,M,DimVI
153.0,C#,m,V+7
159.0,C#,m,V+7
161.0,C#,m,I
162.0,C#,m,IV
163.0,C#,m,I
164.0,E,M,V
165.0,E,M,I
167.0,E,M,V
169.0,E,M,VI
170.0,G#,m,V+7
171.0,G#,m,I
172.0,G#,m,V+7
173.0,G#,m,I
174.0,G#,m,V+7
175.0,G#,m,I
176.0,G#,m,V+7
177.0,G#,m,I
178.0,G#,m,V+7
179.0,G#,m,I
179.5,G#,m,V+7
180.0,G#,m,I
180.5,G#,m,V+7
181.0,G#,m,I
181.5,F#,m,V+7
182.0,F#,m,I
182.5,F#,m,V+7
183.0,F#,m,I
183.5,F#,m,V+7
184.0,F#,m,I
184.5,E,m,V+7
185.0,E,m,GerVI
186.0,E,m,DimVII
187.0,E,m,GerVI
188.0,E,m,DimVII
189.0,E,m,GerVI
193.5,E,m,VI
194.5,E,m,II
195.5,E,m,V+
197.5,E,m,I
198.5,E,m,IV
199.5,E,m,I
200.5,E,m,VII
205.5,E,m,III
206.5,B,m,V+7
207.5,B,m,I
208.5,B,m,V+
209.5,B,m,I
210.5,B,m,V+7
211.5,B,m,I
212.5,B,m,V+7
213.5,B,m,I
214.5,B,m,V+7
215.5,B,m,I
216.0,B,m,V+7
216.5,B,m,I
217.0,B,m,V+7
217.5,A,m,V+7
218.5,A,m,I
219.0,A,m,V+7
219.5,A,m,I
220.0,A,m,V+7
220.5,A,m,I
221.0,A,m,V+7
221.5,A,M,GerVI
222.5,A,M,DimVII
223.5,A,M,GerVI
224.5,A,M,DimVII
225.5,A,M,GerVI
229.5,E,M,VI
231.5,E,M,I
233.5,E,M,V
236.5,A,M,II
239.5,A,M,IV
241.5,A,M,I
244.5,G,M,II
245.5,G,M,DimVII
249.5,F#,m,V+7
251.5,F#,m,I
253.5,F#,m,VII
255.5,F#,m,III
257.5,C#,m,V+7
261.5,C#,m,IV
265.5,C#,m,VI
267.5,C#,m,III
269.5,B,m,V+7
273.5,E,M,V
277.5,E,M,I
281.5,E,M,VI
284.5,E,M,IV
287.5,E,M,VI
289.5,E,M,II
290.5,E,M,V
291.5,E,M,VI
292.5,E,M,V
293.5,E,M,I
297.5,E,M,VI
305.5,E,M,DimVII
307.5,E,M,bII
308.5,E,M,V
309.5,E,M,I
318.5,E,M,V
319.5,E,M,I
320.5,E,M,IV
321.5,E,M,VI
322.5,E,M,I
