offset,tonic,key,numeral
0.0,C#,m,I
10.0,F#,m,V+7
14.0,C#,m,IV
16.0,C#,m,bII
20.0,C#,m,I
22.0,C#,m,VII
24.0,C#,m,III
26.0,C#,m,I
28.0,C#,m,I+
30.0,C#,m,IV
32.0,C#,m,bII
40.0,C#,m,I
42.0,C#,m,V+7
44.0,C#,m,I
46.0,C#,m,V+7
48.0,C#,m,I
50.0,C#,m,V+7
52.0,C#,m,I
54.0,C#,m,V+7
56.0,C#,m,I
58.0,C#,m,V+7
60.0,C#,m,I
62.0,C#,m,V+7
64.0,C#,m,I
66.0,C#,m,bII
67.0,C#,m,V+
68.0,C#,m,I
76.0,C#,m,I+
78.0,C#,m,IV
80.0,C#,m,bII
82.0,C#,m,V+
84.0,C#,m,I
86.0,C#,m,VII
88.0,C#,m,III
90.0,C#,m,I
92.0,C#,m,I+
94.0,C#,m,IV
96.0,C#,m,bII
112.0,C#,m,V+7
115.0,C#,m,I
118.0,C#,m,V+
121.0,C#,m,I
124.0,F#,m,V+7
127.0,F#,m,I
130.0,F#,m,V+
133.0,F#,m,I
136.0,C#,m,V+7
139.0,C#,m,I
142.0,C#,m,V+7
145.0,C#,m,I
148.0,C#,m,I+
151.0,C#,m,I+
154.0,C#,m,I+
157.0,C#,m,IV
163.0,C#,m,III
166.0,C#,m,VII
169.0,C#,m,III
172.0,Ab,M,I
178.0,Ab,M,V7
181.0,Ab,M,I
184.0,A,m,I+
187.0,A,m,I
190.0,B,m,I
193.0,B,m,I+
196.0,B,m,I
199.0,B,m,I+
202.0,Db,m,I
205.0,Db,m,I+
208.0,Db,m,I
211.0,Db,m,I+
214.0,Db,m,DimVII7
219.0,Db,m,V+7
220.0,Db,m,I
223.0,Db,m,IV
226.0,Db,m,I
229.0,Db,m,V+7
232.0,Db,m,I
235.0,Db,m,IV
238.0,Db,m,I
241.0,C,M,V7
242.0,C,M,I
243.0,C,M,V7
244.0,C,M,I
247.0,C,M,IV
250.0,C,M,I
253.0,C,M,V7
256.0,C,M,I
259.0,C,M,DimVII7
260.0,C#,m,DimVII7
261.0,C,m,DimVII7
262.0,C#,m,DimVII7
265.0,C,m,DimVII7
268.0,C#,m,DimVII7
273.0,C#,m,IV
274.0,C#,m,V+7
301.0,C#,m,I
311.0,C#,m,I+
315.0,C#,m,IV
317.0,C#,m,bII
321.0,C#,m,I
323.0,C#,m,VII
325.0,C#,m,III
327.0,C#,m,I
329.0,C#,m,I+
331.0,C#,m,IV
333.0,C#,m,bII
341.0,C#,M,I
343.0,C#,M,IV
345.0,C#,M,I
347.0,C#,M,V
349.0,C#,M,I
351.0,C#,M,V
353.0,C#,M,I
355.0,C#,M,V
357.0,C#,M,I
361.0,C#,M,IV
365.0,C#,M,I
