offset,tonic,key,numeral
0.0,Ab,M,I
6.0,Ab,M,IV
9.0,Ab,M,I
12.0,Ab,M,VI
14.0,Ab,M,I
15.0,Ab,M,VI
17.0,Ab,M,I
18.0,Ab,M,III
20.0,C,m,V+
21.0,C,m,I
27.0,Ab,M,V7
30.0,Ab,M,I
33.0,Db,M,V7
36.0,Db,M,I
39.0,Eb,M,V7
42.0,Ab,M,V
45.0,Ab,M,I
51.0,Ab,M,IV
54.0,Ab,M,I
57.0,Ab,M,VI
59.0,Ab,M,I
60.0,Ab,M,VI
62.0,Ab,M,I
64.0,Ab,M,V7
66.0,Ab,M,I
69.0,Ab,M,V7
72.0,Ab,M,I
75.0,Db,M,V
78.0,Db,M,I
81.0,Eb,M,V
84.0,Ab,M,V
87.0,Ab,M,I
93.0,Ab,M,IV
96.0,Ab,M,I
99.0,Ab,M,VI
101.0,Ab,M,I
102.0,Ab,M,VI
104.0,Ab,M,I
106.0,Ab,M,V
108.0,Ab,M,I
