offset,tonic,key,chord
1.0,F,M,I
4.0,F,M,V
7.0,F,M,I
10.0,F,M,V
13.0,F,M,I
16.0,F,M,V
19.0,F,M,I
21.0,F,M,V
22.0,F,M,I
28.0,F,M,V
31.0,F,M,I
34.0,F,M,V
37.0,F,M,I
40.0,F,M,V
43.0,F,M,I
49.0,F,M,V
50.0,Bb,M,II
51.0,Bb,M,V
52.0,Bb,M,I
55.0,Ab,M,II
57.0,Ab,M,V
58.0,Ab,M,I
61.0,C,m,bVI
64.0,C,m,V+
67.0,C,m,bVI
70.0,C,m,V+
73.0,B,m,I
76.0,B,m,V+
79.0,B,m,I
84.0,B,M,V
85.0,B,M,I
88.0,B,M,V
91.0,B,M,I
94.0,B,M,V
97.0,B,M,I
100.0,B,M,V
103.0,B,M,I
105.0,B,M,V
106.0,B,M,I
109.0,E,M,II
111.0,E,M,V
112.0,E,M,I
115.0,D,M,II
117.0,D,M,V
118.0,D,M,I
121.0,F#,m,I
124.0,F#,m,V+7
127.0,F#,m,I
130.0,F#,m,V+7
133.0,F,m,I
136.0,F,m,V+7
139.0,F,M,V
145.0,F,M,I
148.0,F,M,IV
150.0,F,M,V
151.0,F,M,I
154.0,F,M,V
157.0,F,M,I
160.0,F,M,V
163.0,F,M,I
166.0,F,M,I
168.0,F,M,V
169.0,F,M,I
171.0,F,M,V
172.0,F,M,I
174.0,F,M,V
175.0,F,M,I
177.0,F,M,V
179.0,E,M,V
180.0,E,M,I
181.0,E,M,IV
182.0,F,M,II
183.0,F,M,V
184.0,F,M,I
185.0,E,M,V
186.0,E,M,I
187.0,E,M,IV
188.0,F,M,II
189.0,F,M,V
190.0,F,M,I
192.0,F,M,V
193.0,F,M,I
195.0,F,M,V
196.0,F,M,I
198.0,F,M,V
199.0,F,M,I
