offset,tonic,key,numeral
0.0,C,m,I
4.0,C,m,II
8.0,C,m,IV
12.0,C,m,I
16.0,C,m,II
20.0,C,m,DimVII
24.0,C,m,I
30.25,C,m,V+
31.25,F,m,DimVII
32.25,F,m,I+
33.25,C,m,II
34.25,C,m,I
38.25,C,m,II
42.25,C,m,IV
46.25,C,m,I+
50.25,C,m,bII
54.25,C,m,V+
58.25,C,m,I+
64.25,C,m,V+
66.25,C,m,I+
72.25,C,m,V+
74.25,C,m,V
80.25,C,m,IV+
82.25,C,m,IV
86.25,C,m,I+
90.25,Ab,M,I
96.25,Ab,M,V
98.25,Ab,M,I
104.25,Ab,M,V
112.25,Ab,M,IV
118.25,Ab,M,I
120.25,G,M,V
122.25,G,M,I
126.25,C,m,VI
130.25,C,m,II
134.25,C,m,V+
142.25,C,m,IV
146.25,G,m,DimVII
150.25,G,m,I
154.25,C,m,DimVII
158.25,C,m,IV
162.25,C,m,VI
166.25,C,m,II
170.25,C,m,V+7
180.25,C,m,VI
182.25,D,m,V+
184.25,D,m,DimVII
185.25,C,m,V+7
186.25,C,m,I
190.25,C,m,II
194.25,C,m,IV
198.25,C,m,I
202.25,C,m,II
210.25,C,m,I
216.5,C,m,V+
217.5,F,m,DimVII
218.5,F,m,I+
219.5,C,m,DimVII
220.5,C,m,I
224.5,C,m,II
228.5,C,m,I+
232.5,C,m,bII
240.5,F,m,DimVII
244.5,F,m,GerVI
248.5,C,m,V+7
250.5,C,m,II
252.5,C,m,I
256.5,F,m,V+
260.5,F,m,I
266.5,C,m,II
268.5,C,m,I
272.5,C,m,VI
276.5,C,m,V+7
284.5,C,m,I+
290.5,C,m,V+
292.5,C,m,I+
298.5,C,m,V+
299.5,C,m,I
300.5,C,m,V+
306.5,C,m,IV+
308.5,C,m,IV
315.5,C,m,II
316.5,C,m,IV
323.5,C,m,II
324.5,C,m,I+
