offset,tonic,key,chord
0.0,Db,M,I
3.0,Db,M,VI
4.0,Db,M,V
7.0,Db,M,I
8.0,Db,M,V
11.0,Db,M,I
1921/160,Db,M,III
2081/160,Db,M,V
2241/160,Db,M,I
2401/160,Db,M,V
2561/160,Db,M,I
3041/160,Db,M,VI
3201/160,Db,M,V
3681/160,Db,M,I
3841/160,Db,M,V
4321/160,Db,M,I
4481/160,Db,M,VI
4641/160,Db,M,V
4801/160,Db,M,I
5121/160,Db,M,V
5441/160,Gb,M,II
5601/160,Gb,M,V
5761/160,Gb,M,I
6081/160,Gb,M,V
6401/160,Gb,M,II
6721/160,Ab,m,V+
7041/160,Ab,m,I
7361/160,Ab,m,II
7521/160,Ab,m,IV
7681/160,Ab,m,I
8161/160,Ab,m,IV
8321/160,Ab,m,V
8641/160,Bb,m,I
9281/160,Bb,m,V+7
9601/160,Bb,m,I
9921/160,Bb,m,II
10241/160,Bb,m,I
10561/160,Bb,m,V+7
10881/160,Bb,m,I
11041/160,Bb,m,II
11201/160,Bb,m,I
11361/160,Bb,m,II
11521/160,Bb,m,I
11841/160,Db,M,IV
12001/160,Db,M,V
12161/160,Db,M,I
12641/160,Db,M,II
12801/160,Db,M,V7
13281/160,Db,M,I
13441/160,Db,M,V7
13921/160,Db,M,I
14081/160,Db,M,III
7121/80,Db,M,V
7201/80,Db,M,I
7281/80,Db,M,V
7361/80,Db,M,I
7681/80,Db,M,V7
7921/80,Db,M,I
8001/80,Db,M,V
8241/80,Db,M,I
8321/80,Db,M,V
8641/80,C#,m,I
8721/80,C#,m,II
8801/80,C#,m,I
8881/80,C#,m,V+
9041/80,C#,m,I
9121/80,C#,m,II
9201/80,C#,m,I
9361/80,C#,m,V+
9441/80,C#,m,I
9521/80,C#,m,V+
10001/80,C#,m,I
10081/80,C#,m,V+
10161/80,C#,m,I
10241/80,C#,m,V+
10321/80,C#,m,I
10401/80,C#,m,V+
10481/80,C#,m,I
10561/80,C#,m,V+
10641/80,C#,m,I
10721/80,C#,m,V+
10801/80,C#,m,I
10881/80,C#,m,V+
11201/80,C#,m,I
11441/80,C#,m,V+
11601/80,C#,m,I
11681/80,C#,m,II
11761/80,C#,m,I
11921/80,C#,m,V+
12001/80,C#,m,I
12081/80,C#,m,V+
12481/80,C#,m,III
12641/80,C#,m,V
12801/80,C#,m,III
12961/80,C#,m,V
13121/80,G#,m,I
13281/80,G#,m,V
13441/80,C#,m,V
13761/80,C#,m,I
14001/80,C#,m,V
14161/80,C#,m,I
14241/80,C#,m,II
14321/80,C#,m,I
14481/80,C#,m,V
14561/80,C#,m,I
14641/80,C#,m,V
15121/80,C#,m,I
15201/80,C#,m,V+
15281/80,C#,m,I
15361/80,C#,m,V+
15441/80,C#,m,I
15521/80,C#,m,V+
15601/80,C#,m,I
15681/80,C#,m,V+
15761/80,C#,m,I
15841/80,C#,m,V+
15921/80,C#,m,I
16001/80,C#,m,V+
16321/80,C#,m,I
16401/80,C#,m,II
16481/80,C#,m,I
16561/80,C#,m,V+
16721/80,C#,m,I
16801/80,C#,m,II
16881/80,C#,m,I
16961/80,C#,m,I
17041/80,C#,m,II
17121/80,C#,m,I
17201/80,C#,m,V+
17601/80,C#,m,III
17761/80,C#,m,V
17921/80,C#,m,I
18081/80,C#,m,V
18241/80,G#,m,V
18401/80,G#,m,V+
18561/80,C#,m,V
18881/80,C#,m,V+
19041/80,C#,m,I
19201/80,C#,m,V+
19521/80,C#,m,I
19681/80,C#,m,V+
19841/80,C#,m,IV
20161/80,C#,m,V+
20321/80,C#,m,I
20481/80,C#,m,V+
20561/80,C#,m,I
20881/80,C#,m,V+
21041/80,C#,m,I
21121/80,C#,m,V+
21601/80,C#,m,I
21761/80,C#,m,V+
22081/80,C#,m,I
22241/80,C#,m,V+
22401/80,C#,m,I+
22561/80,C#,m,IV
22721/80,C#,m,V+
22881/80,C#,m,I
23201/80,C#,m,V+
23281/80,C#,m,I
23521/80,C#,m,V+
23601/80,C#,m,I
23681/80,C#,m,V+
23801/80,Db,M,V
24001/80,Db,M,I
24241/80,Db,M,II
24321/80,Db,M,V
24561/80,Db,M,I
24641/80,Db,M,V
24721/80,Db,M,V
24881/80,Db,M,I
24961/80,Db,M,V7
25121/80,Db,M,I
25521/80,Db,M,II
25601/80,Db,M,V
26561/80,Db,M,V7
26881/80,Db,M,I
27201/80,Db,M,V7
27841/80,Db,M,I
