offset,tonic,key,numeral
0.0,E,m,I
8.0,E,m,V+7
10.0,E,m,I
14.0,E,m,I
16.0,E,m,V+
20.0,E,m,III
22.0,B,m,V+7
24.0,B,m,I
26.0,F#,m,DimVII7
28.0,B,m,V+7
32.0,B,m,I
33.0,E,m,V+
34.0,E,m,I
35.0,E,m,II
36.0,E,m,I
40.0,E,m,V+7
42.0,E,m,I
44.0,E,m,V+7
46.0,E,m,I+
47.0,E,m,I
48.0,E,m,V+
52.0,E,m,III
54.0,E,m,VI
56.0,E,m,III
58.0,E,m,VI
60.0,D,m,V+7
62.0,D,m,I
64.0,E,m,V+7
66.0,E,m,I
67.0,B,m,II
68.0,B,m,I
70.0,B,m,V+
72.0,E,m,V+
74.0,E,m,I
76.0,B,m,V+
78.0,B,m,I
80.0,B,m,V+
84.0,B,m,I+
92.0,B,m,IV+
96.0,B,m,II
100.0,B,m,I+
104.0,E,M,V
108.0,E,M,VI
109.0,E,M,I
112.0,E,m,I
116.0,E,m,V+7
120.0,E,m,I
124.0,E,m,V+7
126.0,E,m,I
128.0,E,m,V+7
130.0,E,m,I
132.0,E,m,V+
136.0,E,m,III
138.0,E,m,V
139.0,B,m,V+7
140.25,B,m,I
142.25,F#,m,DimVII7
69257/480,B,m,V+7
71207/480,E,m,V+
72167/480,E,m,I
72647/480,E,m,II
73127/480,E,m,I
75047/480,E,m,V+7
76007/480,E,m,I
76967/480,E,m,V+7
77927/480,E,m,I+
78247/480,E,m,I
78887/480,E,m,V+7
82727/480,E,m,I
83687/480,G#,m,DimVII7
84647/480,E,m,I
85607/480,E,m,V+
86567/480,E,M,I
90407/480,E,M,IV
92327/480,E,M,II
94247/480,E,M,I
98327/480,E,M,II7
100247/480,E,m,II
102167/480,E,m,I+
104087/480,E,m,DimVII7
106007/480,E,m,I+
