offset,tonic,key,chord
1.0,A,m,I
9.0,A,m,V
14.0,E,m,V+
15.0,E,m,I
17.0,C,M,I
19.0,C,M,V
21.0,C,M,I
23.0,C,M,V
25.0,A,m,I
27.0,A,m,V+
29.0,A,m,I
31.0,A,m,V+
33.0,A,m,I
39.0,A,m,GerVI
41.0,A,m,I
42.0,A,m,II
43.0,A,m,I
44.0,A,m,II
45.0,A,m,I
46.0,A,m,V+
47.0,A,m,I
50.0,A,M,I
54.0,A,M,IV
55.0,E,M,DimVII
56.0,A,m,V
58.0,A,m,I
62.0,A,m,IV
63.0,A,m,V
64.0,A,m,I
66.0,F#,m,I
68.0,F#,m,V+7
70.0,F#,m,I
72.0,F#,m,V+
74.0,F#,m,I
76.0,F#,m,V
78.0,C#,m,V+7
80.0,C#,m,I
82.0,A,M,I
84.0,A,M,V7
86.0,A,M,I
88.0,A,M,V7
90.0,A,M,I
92.0,A,M,V7
94.0,A,M,I
94.5,A,M,VI
95.0,A,M,V
96.0,A,M,I
98.0,F#,m,I
100.0,F#,m,V
102.0,F#,m,I
104.0,F#,m,V+
106.0,F#,m,IV
108.0,F#,m,DimVII7
110.0,F#,m,I
111.0,F#,m,V+
112.0,F#,m,I
114.0,A,M,I
118.0,A,M,IV
119.0,E,m,DimVII
120.0,A,M,V
122.0,A,M,I
126.0,A,M,IV
127.0,A,M,V
128.0,A,M,I
130.0,A,m,I
138.0,A,m,V+7
144.0,A,m,I
146.0,C,M,I
148.0,C,M,V
150.0,C,M,I
152.0,C,M,V
154.0,A,m,I
156.0,A,m,V+
158.0,A,m,I
160.0,A,m,V+
162.0,A,m,I
168.0,A,m,GerVI
170.0,A,m,I
171.0,A,m,II
172.0,A,m,I
173.0,A,m,II
174.0,A,m,I
175.0,A,m,V+
176.0,A,m,I
178.0,A,M,I
182.0,A,M,IV
183.0,E,M,DimVII
184.0,A,M,V
186.0,A,M,I
190.0,A,M,IV
191.0,A,M,V
192.0,A,M,I
201.0,A,M,IV
203.0,A,M,I
205.0,A,M,V
207.0,A,M,I
213.0,A,M,IV
215.0,A,M,I
217.0,A,M,V
219.0,A,M,I
227.0,A,M,IV
229.0,A,M,I
231.0,A,M,V
233.0,A,M,I
239.0,A,M,IV
241.0,A,M,I
243.0,A,M,V
245.0,A,M,I
