offset,tonic,key,numeral
1.0,E,m,I
5.0,E,m,II
7.0,E,m,DimVII7
9.0,E,m,bII
11.0,D,m,I
12.0,F#,m,DimVII7
13.0,A,m,V+7
15.0,A,m,V7
16.0,D,m,DimVII7
17.0,E,m,VI
19.0,F,m,DimVII7
23.0,G,m,V+7
25.0,A,m,IV+
29.0,A,m,IV
32.0,A,m,II
33.0,A,m,III
34.0,A,m,I
37.0,E,m,V+
39.0,E,m,IV
41.0,E,m,V+7
43.0,E,m,IV
45.0,E,m,V+
49.0,E,m,I
53.0,E,m,II
55.0,E,m,bII
59.0,A,m,V+7
61.0,A,m,V7
62.0,D,m,DimVII7
64.0,D,m,V
65.0,E,m,V+7
67.0,E,m,I
69.0,E,m,IV
70.0,E,m,II
71.0,E,m,I
72.5,E,m,IV
73.0,E,m,I
75.0,E,m,IV
77.0,E,m,I
79.0,E,m,V+
81.0,E,m,VI
84.0,E,m,IV
85.0,E,m,I+
87.0,E,m,I
89.0,E,m,GerVI
93.0,E,m,I
95.0,E,m,V+
97.0,E,m,I
