offset,tonic,key
0.0,Bb,m
6241/160,G♭,m
7681/160,B♭,m
9361/120,E♭,m
10081/120,F,m
8321/80,B,m
8561/80,B♭,m
9121/80,Db,M
9361/80,F,M
9601/80,Db,M
11281/80,F,M
11521/80,D,M
12481/80,Db,M
13201/80,F,M
13441/80,Db,M
15121/80,F,M
16321/80,Db,M
17041/80,Eb,m
17521/80,Db,M
18241/80,Ab,M
18561/80,Db,M
18961/80,F,M
19201/80,D,M
20161/80,Db,m
20881/80,Eb,m
21361/80,D♭,m
22081/80,Ab,M
22401/80,D♭,M
24001/80,D♭,m
24481/80,G♭,m
33841/80,Bb,m
36001/80,E♭,m
27361/60,F,M
27541/60,B♭,m
28561/60,B,M
28801/60,B♭,m
28981/60,Eb,M
29161/60,Bb,M
29341/60,Eb,m
29521/60,Bb,M
29701/60,Eb,M
30241/60,Bb,M
