offset,tonic,key
12.0,Eb,M
21.0,Ab,M
30.0,Eb,M
45.0,Ab,M
54.0,Eb,M
62.0,Ab,M
70.0,C,M
72.0,Ab,M
75.0,C,M
78.0,Ab,M
95.0,C,M
98.0,Ab,M
101.0,C,M
104.0,Ab,M
113.0,Eb,M
122.0,Ab,M
131.0,Eb,M
146.0,Ab,M
155.0,Eb,M
160.0,Ab,M
167.0,C,m
170.0,Ab,M
173.0,C,m
176.0,Ab,M
191.0,C,M
194.0,Ab,M
197.0,C,M
209.0,Db,M
260.0,Ab,M
270.0,C,M
271.0,Ab,M
294.0,C,M
295.0,Ab,M
308.0,Db,M
356.0,Gb,M
368.0,Db,M
380.0,Gb,M
392.0,Db,M
407.0,Bb,m
455.0,Gb,M
467.0,Db,M
479.0,Gb,M
491.0,Db,M
506.0,Gb,M
554.0,Eb,m
578.0,Eb,M
587.0,Ab,M
596.0,Eb,M
611.0,Ab,M
620.0,Eb,M
625.0,Ab,M
632.0,C,M
635.0,Ab,M
638.0,C,m
641.0,Ab,M
656.0,C,M
659.0,Ab,M
662.0,C,M
665.0,Ab,M
674.0,Eb,M
683.0,Ab,M
692.0,Eb,M
722.0,Eb,M
746.0,Ab,M
764.0,Eb,M
792.0,Db,M
794.0,Eb,M
809.0,Ab,M
824.0,Eb,M
