offset,tonic,key,numeral
1.0,D,m,I
2.75,D,m,VIIdim7
3.0,D,m,I
3.75,D,m,VIIdim7
4.0,D,m,I
4.75,D,m,IV
5.0,D,m,I
5.5,D,m,IV
6.0,D,m,I
6.5,D,m,V+
7.0,D,m,I
8.0,D,m,I
9.0,D,m,IIdim7
10.0,D,m,I
10.5,D,m,I
10.75,D,m,V+7
11.0,D,m,I
12.0,D,m,I
13.0,D,m,IIdim7
14.0,D,m,I
14.5,D,m,I
14.75,D,m,V+7
15.0,D,m,I
15.5,D,m,VII
15.75,F,M,V7
16.0,F,M,I
16.5,F,M,VI
16.75,F,M,#IVdim
17.0,F,M,V
17.75,F,M,I
18.0,F,M,V7
18.25,F,M,I
18.5,F,M,V7
19.0,F,M,I
19.5,F,M,VIIdim7
19.75,F,M,I
20.0,Bb,M,I
20.5,Bb,M,VI
20.75,Bb,M,#IVdim
21.0,Bb,M,V
21.75,Bb,M,I
22.0,Bb,M,V7
22.25,Bb,M,I
22.75,Bb,M,V
23.0,Bb,M,I
24.0,D,m,IIdim7
25.0,D,m,I
26.0,D,m,IIdim7
27.0,D,m,I
27.75,D,m,III
28.0,D,m,I
28.5,D,m,V+7
29.0,D,m,I
30.0,D,m,IIdim7
31.0,D,m,I
31.75,D,m,III
32.0,D,m,I
32.5,D,m,V+7
33.0,D,m,I
34.75,D,m,VIIdim7
35.0,D,m,I
36.75,D,m,IV
37.0,D,m,I
37.5,D,m,IV
38.0,D,m,I
38.5,D,m,V+7
39.0,D,m,I
40.0,D,m,I
41.0,D,m,IIdim7
42.0,D,m,I
42.5,D,m,I
42.75,D,m,V+7
43.0,D,m,I
44.0,D,m,I
45.0,D,m,IIdim7
46.0,D,m,I
46.5,D,m,I
46.75,D,m,V+7
47.0,D,m,I
47.5,D,m,VII
47.75,F,M,V7
48.0,F,M,I
48.5,F,M,VI
48.75,F,M,#IVdim
49.0,F,M,V
49.75,F,M,I
50.0,F,M,V7
50.25,F,M,I
50.5,F,M,V7
51.0,F,M,I
51.5,F,M,VIIdim7
51.75,F,M,I
52.0,Bb,M,I
52.5,Bb,M,VI
52.75,Bb,M,#IVdim
53.0,Bb,M,V
53.75,Bb,M,I
54.0,Bb,M,V7
54.25,Bb,M,I
54.75,Bb,M,V
55.0,Bb,M,I
56.0,D,m,IIdim7
57.0,D,m,I
58.0,D,m,IIdim7
59.0,D,m,I
59.75,D,m,III
60.0,D,m,I
60.5,D,m,V+7
61.0,D,m,I
62.0,D,m,IIdim7
63.0,D,m,I
63.75,D,m,III
64.0,D,m,I
64.5,D,m,V+7
65.0,D,m,I
66.75,D,m,VIIdim7
67.0,D,m,I
68.75,D,m,IV
69.0,D,m,I
69.5,D,m,IV
70.0,D,m,I
70.5,D,m,V+7
71.0,D,m,I
72.0,D,m,I
73.0,D,m,IIdim7
74.0,D,m,I
74.25,D,m,III
74.5,D,m,I
74.75,D,m,V+7
75.0,D,m,I
76.0,D,m,I
77.0,D,m,IIdim7
78.0,D,m,I
78.25,D,m,III
78.5,D,m,I
78.75,D,m,V+7
79.0,D,m,I
79.5,D,m,VII
79.75,F,M,V7
80.0,F,M,I
80.5,F,M,VI
80.75,F,M,#IVdim
81.0,F,M,V
81.75,F,M,I
82.0,F,M,V7
82.25,F,M,I
82.75,F,M,V
83.0,F,M,I
83.5,F,M,VIIdim7
83.75,F,M,I
84.0,Bb,M,I
84.5,Bb,M,VI
84.75,Bb,M,#IVdim
85.0,Bb,M,V
85.75,Bb,M,I
86.0,Bb,M,V7
86.5,Bb,M,I
86.75,Bb,M,V
87.0,Bb,M,I
88.0,D,m,IIdim7
89.0,D,m,I
90.0,D,m,IIdim7
91.0,D,m,I
91.75,D,m,III
92.0,D,m,I
92.5,D,m,V+7
93.0,D,m,I
94.0,D,m,IIdim7
95.0,D,m,I
95.75,D,m,III
96.0,D,m,I
96.5,D,m,V+7
97.0,D,m,I
98.75,D,m,VIIdim7
99.0,D,m,I
99.75,D,m,VIIdim7
100.0,D,m,I
100.75,D,m,IV
101.0,D,m,I
101.5,D,m,IV
102.0,D,m,I
102.5,D,m,V+
103.0,D,M,I
104.0,D,M,I
105.0,D,M,#IVdim
106.0,D,M,I
106.5,D,M,I
106.75,D,M,V7
107.0,D,M,I
108.0,D,M,I
109.0,D,M,#IVdim
110.0,D,M,I
110.25,D,M,I
110.5,D,M,V7
111.0,D,M,I
111.5,D,M,II7
111.75,G,M,V7
112.0,G,M,I
112.5,G,M,VI
112.75,G,M,#IVdim
113.0,G,M,V
113.75,G,M,I
114.0,G,M,V7
114.25,G,M,I
114.5,G,M,V7
115.0,G,M,I
115.5,G,M,VI
115.75,G,M,#IVdim
116.0,D,M,I
116.5,D,M,VI
116.75,D,M,#IVdim
117.0,D,M,V
117.75,D,M,I
118.0,D,M,V7
118.25,D,M,I
118.5,D,M,V7
119.0,D,M,I
120.0,D,M,#IVdim
121.0,D,M,I
122.0,D,M,#IVdim
123.0,D,M,I
123.75,D,M,I
124.5,D,M,V7
125.0,D,M,I
126.0,D,M,#IVdim
127.0,D,M,I
127.75,D,M,I
128.5,D,M,V7
129.0,D,M,I
129.75,D,m,I
130.5,D,m,V+
131.0,D,m,I
131.25,D,m,I
131.75,D,m,IV
132.25,D,m,IV
132.75,D,m,I
133.5,D,m,V+7
134.0,D,m,I
135.5,D,m,V+7
136.0,D,m,I
